Transaction_Amount_INR,Transaction_Hour,Merchant_Category,Country,Distance_from_Home_km,Mins_Since_Last_Txn,Avg_Monthly_Txn_INR,Is_Fraud
2385.0,10,Fuel,India,3517.0,388.0,8356,0
4657.0,7,Travel,India,,319.0,18859,1
297.0,6,Restaurant,India,5316.0,497.0,13966,0
1550.0,7,Restaurant,India,567.0,663.0,7849,0
4050.0,19,Grocery,India,4175.0,383.0,6650,0
5538.0,0,Electronics,USA,5694.0,201.0,17625,0
357.0,22,Travel,India,6810.0,228.0,17904,0
129.0,1,Electronics,UK,9496.0,552.0,3879,0
2676.0,14,Medical,India,355.0,,14153,0
44.0,21,Travel,India,9898.0,513.0,4485,0
4934.0,14,Fuel,India,7971.0,534.0,10520,0
1333.0,20,Medical,India,4091.0,572.0,7019,0
3111.0,8,Electronics,India,8174.0,477.0,16533,0
3088.0,9,Medical,India,1514.0,358.0,18929,1
1350.0,1,Restaurant,India,,347.0,12987,0
9078.12007435205,3,Travel,Other,6708.0,84.0,5988,0
3099.0,17,Electronics,India,6387.0,222.0,19097,1
1558.0,15,Travel,Dubai,1338.0,301.0,17792,1
2022.0,13,Travel,India,8540.0,9.0,15863,0
1296.0,3,Fuel,India,8870.0,94.0,13054,0
1785.0,8,Fuel,Dubai,5288.0,84.0,15246,0
1698.0,23,Travel,India,3931.0,452.0,17234,0
1521.0,11,Electronics,India,,550.0,14764,0
490.0,7,Restaurant,Singapore,2867.0,52.0,10420,0
3377.0,9,Grocery,Other,3210.0,141.0,4547,0
34.0,23,Medical,India,2247.0,68.0,1154,1
3825.0,2,Restaurant,India,,470.0,3756,0
425.0,16,Grocery,India,5160.0,126.0,5615,0
1656.0,19,Online,India,9290.0,275.0,7525,0
3672.0,8,Medical,Dubai,5261.0,572.0,11480,0
7711.0,19,Grocery,India,395.0,259.0,14256,0
2027.0,22,Fuel,India,,607.0,4061,0
2153.0,22,Grocery,USA,7469.0,,3448,0
2629.0,10,Medical,USA,,256.0,17917,0
1922.0,8,Online,India,,277.0,7177,0
3645.0,19,Restaurant,India,3618.0,471.0,16080,0
2184.0,22,Online,UK,7308.0,248.0,4307,0
714.0,1,Fuel,India,8225.0,33.0,16412,0
9800.0,1,Medical,India,6799.0,,15676,1
1129.0,18,Restaurant,India,5405.0,,2180,0
233.0,7,Travel,India,8805.0,583.0,12436,0
1244.0,10,Medical,India,6329.0,661.0,16374,0
3566.0,16,Medical,Other,4254.0,13.0,6585,0
1498.0,21,Online,USA,5748.0,211.0,11047,0
1005.0,14,Fuel,India,,460.0,16107,0
1002.0,21,Online,India,3719.0,450.0,3265,0
907.0,2,Fuel,Other,3880.0,613.0,4099,0
501.0,8,Fuel,Dubai,4370.0,184.0,17900,0
4549.0,0,Fuel,India,4019.0,300.0,885,0
636.0,16,Travel,India,9816.0,534.0,11172,0
1671.0,19,Grocery,India,2772.0,149.0,904,0
727.0,0,Medical,India,3712.0,684.0,14307,0
1696.0,16,Travel,India,7357.0,16.0,19019,1
1101.0,19,Grocery,India,4687.0,611.0,3847,0
1345.0,1,Fuel,UK,204.0,664.0,15676,0
5325.0,4,Fuel,India,39.0,431.0,14702,0
1756.0,20,Restaurant,Singapore,9168.0,348.0,15929,0
500.0,15,Grocery,India,5892.0,584.0,17489,0
1468.0,23,Restaurant,India,3556.0,537.0,9445,0
1271.0,1,Grocery,Singapore,4136.0,305.0,16863,1
812.0,15,Travel,India,7799.0,61.0,6882,0
850.0,17,Restaurant,India,4574.0,393.0,5954,0
1153.0,1,Travel,India,634.0,237.0,4948,1
10.0,17,Fuel,UK,9853.0,99.0,615,0
524.0,6,Travel,USA,9469.0,625.0,6494,0
175.0,3,Travel,India,3238.0,188.0,16203,0
2668.0,2,Online,India,9326.0,305.0,16449,0
1376.0,2,Online,India,1063.0,121.0,4611,0
4370.0,7,Electronics,Singapore,7929.0,259.0,8462,0
2459.0,13,Electronics,India,5051.0,275.0,13900,1
2907.0,16,Grocery,India,4904.0,673.0,857,0
449.0,2,Fuel,India,1547.0,13.0,12856,0
2666.0,0,Fuel,India,2859.0,454.0,4444,0
91.0,11,Electronics,India,3156.0,674.0,14454,0
515.0,9,Fuel,USA,842.0,170.0,17352,0
331.0,6,Travel,India,,454.0,10527,0
762.0,5,Travel,India,2351.0,619.0,2099,0
2939.0,18,Online,India,6748.0,401.0,10046,0
1506.0,1,Grocery,India,8938.0,333.0,15943,0
9077.0,16,Medical,USA,1910.0,538.0,4404,1
449.0,4,Grocery,India,992.0,571.0,6212,0
4349.0,15,Electronics,USA,4058.0,87.0,672,0
7076.0,6,Electronics,Singapore,9012.0,405.0,11567,0
1686.0,20,Electronics,India,6484.0,609.0,8489,0
19.0,6,Grocery,India,4487.0,150.0,12191,0
2626.0,12,Restaurant,India,1907.0,238.0,11563,0
580.0,13,Fuel,India,4394.0,13.0,7204,0
890.0,7,Medical,Singapore,6940.0,,16142,1
718.0,13,Online,India,8816.0,,6715,0
1961.0,17,Restaurant,Dubai,1835.0,458.0,19955,0
2370.0,10,Electronics,Singapore,7298.0,366.0,5337,0
3239.0,9,Online,India,1056.0,493.0,4087,0
304.0,2,Online,UK,1313.0,347.0,9051,0
3626.0,16,Electronics,India,1732.0,59.0,15941,0
898.0,9,Grocery,India,8033.0,167.0,3016,0
1212.0,14,Electronics,USA,2621.0,472.0,6653,0
952.0,4,Electronics,India,8744.0,,2547,0
2217.898453176152,13,Electronics,India,3234.0,180.0,18177,0
743.0,1,Travel,India,1321.0,80.0,8251,0
8723.0,0,Medical,India,1383.0,340.0,1722,1
468.0,11,Electronics,India,4129.0,640.0,14043,0
6506.0,15,Restaurant,Dubai,5836.0,412.0,1114,1
1817.7808312904303,2,Electronics,India,140.0,698.0,17477,0
1704.0,11,Travel,Other,7127.0,359.0,18704,1
4521.0,3,Online,India,9928.0,439.0,16126,0
3611.0,3,Restaurant,India,3645.0,180.0,5372,0
7032.0,3,Electronics,India,6495.0,674.0,1564,0
6269.0,23,Electronics,India,4122.0,,6082,0
681.0,7,Fuel,UK,6375.0,432.0,587,0
646.0,14,Travel,India,7360.0,373.0,9863,0
123.0,9,Grocery,UK,2682.0,484.0,6779,0
2020.0,14,Electronics,Dubai,2456.0,366.0,16026,0
996.0,6,Online,India,8741.0,185.0,687,0
523.0,6,Travel,Singapore,6061.0,325.0,1447,1
856.0,3,Medical,India,5146.0,124.0,19080,0
441.0,4,Restaurant,India,4634.0,97.0,1127,0
1550.0,4,Medical,UK,1924.0,,17245,0
3058.0,6,Grocery,India,4238.0,663.0,18347,0
1548.0,6,Fuel,Other,5929.0,209.0,17710,0
8723.0,0,Medical,India,1383.0,340.0,1722,1
712.0,17,Online,India,4276.0,220.0,3758,0
2182.0,14,Fuel,India,562.0,153.0,10637,0
3940.0,22,Medical,India,6866.0,13.0,1841,0
2295.0,19,Travel,India,8546.0,77.0,17241,0
1162.0,13,Restaurant,USA,4501.0,164.0,9735,0
573.0,1,Travel,India,5412.0,82.0,17352,0
3647.0,10,Fuel,USA,4823.0,403.0,6169,0
4704.0,21,Restaurant,India,748.0,184.0,15557,0
61.0,21,Online,India,4974.0,516.0,9652,0
3401.0,3,Restaurant,India,,597.0,6045,0
3005.0,7,Fuel,Other,8270.0,358.0,19674,0
2064.0,4,Fuel,India,8210.0,303.0,8586,0
363.0,6,Online,India,4957.0,289.0,5635,0
105.0,15,Grocery,India,1712.0,127.0,5887,0
241.0,7,Restaurant,UK,2621.0,12.0,13820,0
2631.0,17,Grocery,Dubai,9457.0,427.0,4946,0
823.0,10,Restaurant,India,4335.0,50.0,14023,0
1907.0,7,Medical,Dubai,9651.0,372.0,2306,0
6506.0,15,Restaurant,Dubai,5836.0,412.0,1114,1
3039.0,19,Medical,India,2614.0,146.0,8301,0
875.0,0,Restaurant,USA,1893.0,316.0,1829,0
3236.0,15,Fuel,India,4925.0,500.0,10204,0
2929.713953641677,3,Grocery,Other,1987.0,256.0,3370,0
1003.0,19,Medical,USA,8700.0,274.0,8532,0
4427.0,22,Electronics,India,8785.0,451.0,4470,0
816.0,20,Electronics,USA,1450.0,125.0,12879,0
1058.0,5,Fuel,USA,8558.0,182.0,18994,0
748.0,1,Electronics,India,9100.0,186.0,18495,0
563.0,4,Fuel,Singapore,3868.0,684.0,3297,0
5245.0,17,Fuel,Singapore,7903.0,,5517,1
4063.0,10,Travel,India,5299.0,163.0,4358,0
1558.0,15,Travel,Dubai,1338.0,301.0,17792,1
1514.0,23,Fuel,India,3056.0,630.0,2135,0
2475.0,19,Restaurant,India,1053.0,465.0,4208,0
2784.0,22,Grocery,India,5229.0,393.0,19950,0
1593.0,22,Travel,India,9643.0,180.0,5397,1
2964.0,21,Electronics,India,3135.0,175.0,2824,0
3955.0,0,Medical,India,3657.0,565.0,1220,1
1413.0,4,Restaurant,India,,686.0,4201,0
2991.0,23,Electronics,India,1285.0,263.0,15416,0
197.0,18,Travel,India,5976.0,39.0,11614,0
2817.0,5,Online,Other,208.0,22.0,2385,0
3137.0,17,Travel,UK,,162.0,17337,0
3024.0,18,Restaurant,Other,4162.0,221.0,754,0
217.0,0,Fuel,Dubai,9760.0,184.0,15612,0
511.0,18,Medical,India,5763.0,57.0,15861,0
2406.0,10,Travel,India,2942.0,472.0,9971,0
234.0,20,Medical,India,730.0,474.0,1177,0
588.0,13,Online,India,4665.0,92.0,18542,0
1017.0,19,Restaurant,India,8753.0,629.0,14387,0
31.0,20,Fuel,India,8711.0,592.0,14283,0
902.0,19,Medical,India,3396.0,685.0,4852,0
3414.0,12,Online,Dubai,1985.0,144.0,9292,0
1609.0,11,Online,USA,3269.0,356.0,8297,1
1214.0,19,Electronics,India,4919.0,595.0,15767,0
2538.0,18,Restaurant,India,5847.0,28.0,17213,0
2512.0,6,Medical,UK,5474.0,453.0,1471,0
3744.0,14,Online,India,,304.0,9126,0
3618.0,14,Medical,India,1124.0,127.0,4499,0
1810.0,1,Restaurant,India,8296.0,69.0,2463,0
412.0,6,Restaurant,Singapore,,197.0,19955,0
8723.0,0,Medical,India,1383.0,340.0,1722,1
2641.0,14,Grocery,India,7999.0,112.0,10557,0
4925.0,14,Online,India,3360.0,703.0,17833,0
2926.0,9,Electronics,India,6918.0,627.0,9175,0
846.0,23,Electronics,India,9206.0,380.0,3688,0
844.0,10,Online,India,4196.0,215.0,18636,0
613.0,20,Electronics,UK,278.0,268.0,16595,1
2223.0,12,Fuel,Other,,115.0,12700,0
1327.0,4,Electronics,India,554.0,642.0,11814,0
3377.0,12,Restaurant,UK,7826.0,360.0,6145,0
882.0,20,Electronics,India,2332.0,,7616,0
42.0,11,Electronics,Dubai,4033.0,95.0,17868,0
939.0,18,Medical,USA,8948.0,185.0,19312,0
479.0,4,Fuel,USA,8667.0,457.0,18615,0
2470.0,7,Fuel,Other,9246.0,643.0,9789,0
2280.0,6,Grocery,UK,4956.0,548.0,6769,0
229.0,9,Medical,USA,9708.0,530.0,9051,0
438.0,2,Online,India,53.0,581.0,14156,0
354.0,1,Restaurant,India,8826.0,73.0,3121,1
3016.0,18,Restaurant,USA,7783.0,56.0,1273,0
4273.0,11,Restaurant,India,8167.0,414.0,3343,0
427.0,22,Restaurant,India,4541.0,,16166,0
1215.0,11,Electronics,India,7646.0,,10696,0
1565.0,0,Travel,India,1595.0,215.0,18949,0
279.0,17,Online,UK,4683.0,339.0,4617,0
1409.0,4,Medical,India,9443.0,443.0,16492,0
59.0,21,Electronics,UK,1799.0,395.0,8494,0
1833.0,3,Grocery,India,7382.0,618.0,18634,0
1417.0,14,Electronics,Dubai,5437.0,189.0,17155,0
6219.0,22,Restaurant,Singapore,3694.0,485.0,4481,0
4647.0,21,Travel,India,8320.0,404.0,8622,0
3606.0,3,Travel,Singapore,153.0,652.0,10160,1
4081.0,18,Electronics,India,530.0,459.0,2179,0
1067.0,14,Restaurant,India,9237.0,127.0,2957,0
7712.0,13,Grocery,India,7493.0,1.0,544,1
1420.0,19,Online,India,890.0,475.0,11227,0
291.0,23,Medical,India,6019.0,92.0,14768,0
335.0,21,Medical,India,2742.0,16.0,4928,0
220.0,19,Medical,India,4031.0,421.0,8846,0
4215.0,8,Electronics,India,5583.0,,757,0
634.0,22,Travel,UK,255.0,582.0,4622,0
1330.0,14,Travel,India,6050.0,450.0,1896,0
335.0,22,Online,Other,7926.0,516.0,17362,0
624.0,3,Fuel,India,7443.0,586.0,11638,0
3751.0,17,Grocery,India,3420.0,231.0,10863,0
721.0,0,Electronics,India,8812.0,191.0,3259,0
1065.0,3,Online,USA,7661.0,3.0,12247,0
4820.0,23,Electronics,Dubai,8217.0,579.0,19858,0
615.0,8,Grocery,India,967.0,701.0,15723,1
3904.0,4,Restaurant,UK,1758.0,446.0,18990,0
1210.0,20,Travel,India,8358.0,11.0,6733,0
431.0,4,Fuel,India,8974.0,8.0,12761,0
2226.0,15,Medical,India,3430.0,652.0,14243,1
332.0,17,Medical,Dubai,3235.0,513.0,19113,0
591.0,15,Travel,India,5226.0,81.0,5784,0
533.0,21,Restaurant,India,3556.0,290.0,6607,0
603.0,13,Fuel,India,2393.0,622.0,7860,0
265.0,15,Restaurant,India,298.0,297.0,1640,0
81.0,10,Electronics,India,6244.0,297.0,17110,0
7712.0,13,Grocery,India,7493.0,1.0,544,1
412.0,10,Online,India,8113.0,,15718,0
1097.0,13,Grocery,India,1550.0,241.0,5809,0
3775.0,18,Medical,India,9755.0,,14450,0
48.0,1,Fuel,India,657.0,116.0,19562,0
2698.0,11,Online,India,4430.0,319.0,2275,1
2894.0,9,Restaurant,India,5778.0,435.0,10190,0
9186.0,19,Electronics,India,720.0,571.0,12070,0
2642.0,22,Online,India,7522.0,436.0,15957,0
911.0,12,Medical,UK,3050.0,150.0,4026,0
402.0,22,Fuel,USA,5284.0,481.0,17073,0
969.0,13,Grocery,USA,4587.0,54.0,3764,0
133.0,22,Electronics,India,8355.0,525.0,10595,0
896.0,6,Electronics,Other,8070.0,160.0,4536,0
4838.0,16,Restaurant,India,9946.0,408.0,11363,0
3457.0,16,Restaurant,Other,2433.0,,12245,0
1789.0,4,Grocery,India,8294.0,276.0,3083,0
945.0,10,Restaurant,India,4743.0,20.0,14120,0
7465.0,10,Medical,India,8311.0,78.0,6477,0
1203.0,12,Medical,Dubai,4282.0,109.0,7226,0
152.69298235501097,9,Grocery,India,8060.0,451.0,4036,0
3828.0,9,Fuel,Singapore,3012.0,641.0,17753,0
161.0,19,Electronics,Dubai,28.0,99.0,1820,0
147.0,22,Travel,USA,8303.0,492.0,1711,0
1442.0,21,Restaurant,India,9303.0,115.0,8701,0
773.0,10,Electronics,Singapore,4267.0,283.0,2015,0
5091.0,21,Fuel,India,3855.0,484.0,14848,0
1464.0,5,Online,USA,6505.0,339.0,8621,0
161.0,19,Restaurant,India,1030.0,662.0,5755,0
438.0,22,Fuel,India,9358.0,429.0,1607,0
94.0,9,Travel,India,9997.0,13.0,15811,0
3442.0,22,Grocery,USA,7316.0,322.0,18732,0
1439.0,17,Medical,India,7949.0,660.0,10550,0
1266.0,10,Travel,India,4047.0,137.0,10162,0
283.0,8,Grocery,India,6874.0,687.0,3071,0
460.0,2,Fuel,India,708.0,514.0,18073,0
2839.0,2,Medical,Other,837.0,92.0,12075,0
298.0,20,Travel,India,9860.0,213.0,18732,0
1622.0,10,Travel,India,9106.0,607.0,19959,0
1057.0,15,Medical,India,1390.0,330.0,6012,0
2331.0,3,Grocery,India,8156.0,265.0,7245,0
3499.0,12,Fuel,India,9765.0,,4234,0
896.0,12,Fuel,India,6939.0,181.0,12021,0
2226.0,15,Medical,India,3430.0,652.0,14243,1
536.0,11,Electronics,India,4188.0,271.0,3592,1
1685.0,20,Online,UK,4780.0,56.0,18089,0
1578.0,9,Grocery,USA,6152.0,531.0,15282,0
3526.0,4,Medical,India,1627.0,227.0,7121,0
39.0,3,Online,India,8912.0,158.0,12723,0
61.0,21,Electronics,India,7567.0,163.0,18710,0
886.0,13,Grocery,India,4955.0,561.0,12507,0
1390.0,6,Restaurant,India,227.0,639.0,19200,0
1401.0,2,Medical,USA,6629.0,454.0,8021,1
4410.0,19,Medical,India,4220.0,304.0,1677,0
1202.0,5,Travel,India,9682.0,466.0,3015,0
1817.0,22,Fuel,India,654.0,690.0,5345,0
2731.0,14,Electronics,India,9080.0,497.0,9833,0
1399.0,23,Electronics,India,5390.0,698.0,7006,0
4871.0,4,Travel,India,3991.0,344.0,8568,0
999.0,18,Grocery,Other,2641.0,611.0,17398,0
5687.0,1,Online,India,4007.0,17.0,1568,0
1528.0,0,Medical,India,5014.0,345.0,11688,0
958.0,7,Restaurant,India,1179.0,332.0,1170,0
1223.0,6,Online,Singapore,812.0,,1368,0
995.0,23,Electronics,Other,1924.0,543.0,17187,0
984.0,18,Travel,India,9666.0,29.0,17070,0
3015.0,19,Medical,USA,7124.0,14.0,6545,0
5147.0,10,Medical,India,6713.0,187.0,11787,0
1099.0,17,Online,India,420.0,475.0,9442,0
141.0,21,Medical,USA,2121.0,260.0,3528,0
890.0,7,Medical,Singapore,6940.0,,16142,1
141.0,5,Restaurant,USA,7028.0,540.0,5708,0
744.0,5,Online,India,7020.0,486.0,11973,0
1702.0,7,Restaurant,Singapore,,580.0,7945,0
391.0,19,Restaurant,India,6526.0,89.0,15105,0
5266.0,1,Travel,India,9953.0,56.0,14191,0
260.0,6,Travel,India,436.0,184.0,753,0
272.0,21,Online,India,4472.0,183.0,2301,0
224.0,8,Fuel,India,4943.0,225.0,19637,0
1549.0,19,Online,India,7549.0,121.0,10736,0
361.0,1,Fuel,USA,1739.0,220.0,7234,1
239.0,9,Medical,India,7839.0,80.0,11374,0
3348.0,14,Restaurant,India,666.0,366.0,19217,0
3409.0,7,Grocery,Other,823.0,573.0,13088,0
4864.0,7,Grocery,Dubai,6811.0,633.0,8227,0
3060.0,12,Restaurant,India,2929.0,406.0,9128,0
243.0,8,Travel,India,8550.0,230.0,2518,0
1730.0,15,Medical,Singapore,5400.0,631.0,2678,0
3194.0,15,Travel,India,4994.0,261.0,15453,0
662.0,17,Restaurant,India,1109.0,,13394,0
3299.0,11,Travel,India,5271.0,463.0,10040,0
3127.0,15,Grocery,India,1411.0,,6586,0
1885.0,18,Electronics,USA,5691.0,545.0,12146,0
1767.0,14,Electronics,USA,9321.0,360.0,9559,1
959.0,15,Restaurant,India,1646.0,198.0,13089,0
211.0,10,Online,India,9265.0,326.0,6278,0
475.0,4,Fuel,India,1843.0,635.0,2107,0
1657.0,13,Online,India,2352.0,294.0,11511,0
1387.0,12,Grocery,USA,2955.0,698.0,14890,0
3505.0,22,Online,India,5810.0,144.0,7123,0
4984.0,11,Grocery,India,9801.0,4.0,5805,0
9473.0,0,Grocery,India,4684.0,490.0,4726,1
4636.0,1,Electronics,Other,7562.0,82.0,16714,0
1318.0,19,Travel,India,3810.0,603.0,12015,1
2506.0,15,Electronics,India,238.0,602.0,2266,0
4210.0,12,Online,India,9494.0,630.0,12857,0
1401.0,2,Medical,USA,6629.0,454.0,8021,1
381.0,2,Fuel,India,1556.0,8.0,9433,0
1388.0,6,Grocery,India,8507.0,553.0,18310,0
617.0,21,Grocery,UK,7949.0,87.0,9263,0
42.0,16,Fuel,UK,52.0,696.0,17261,0
311.0,5,Restaurant,India,,264.0,5067,1
1557.0,10,Medical,Dubai,7429.0,716.0,2943,0
338.0,10,Travel,India,4466.0,146.0,14343,0
4359.0,5,Electronics,India,8964.0,221.0,8290,0
3237.0,8,Electronics,India,8117.0,37.0,7590,0
473.0,8,Restaurant,India,2736.0,548.0,3847,0
1542.0,21,Fuel,USA,4665.0,705.0,16637,0
2684.0,8,Online,India,1700.0,30.0,10161,1
6992.0,1,Travel,Singapore,8866.0,652.0,14865,0
904.0,23,Travel,India,4036.0,426.0,3061,0
8421.0,3,Electronics,India,5799.0,415.0,4382,0
1576.0,22,Electronics,India,,186.0,2071,0
25924.5077335268,0,Online,Dubai,9993.0,382.0,11922,0
1884.0,12,Grocery,Other,465.0,75.0,9760,1
2586.0,20,Electronics,India,,278.0,11921,0
2632.0,9,Fuel,India,2944.0,610.0,13762,0
4749.0,6,Online,India,,185.0,15240,0
535.0,19,Medical,India,1412.0,631.0,19005,0
957.0,1,Medical,Dubai,7138.0,307.0,3013,0
578.0,16,Grocery,USA,8002.0,615.0,5293,0
721.0,17,Restaurant,Singapore,1494.0,135.0,18193,0
3200.0,12,Medical,USA,2773.0,323.0,8246,0
901.0,19,Electronics,India,,363.0,8192,0
856.0,6,Electronics,India,,54.0,3515,0
660.0,4,Restaurant,USA,2398.0,375.0,14481,0
1521.0,7,Grocery,India,9659.0,321.0,4288,0
3827.0,23,Medical,USA,5305.0,334.0,14455,0
17.0,21,Grocery,India,929.0,701.0,17257,0
832.0,15,Fuel,India,9720.0,242.0,12179,0
6127.0,22,Grocery,India,228.0,420.0,16515,0
3671.0,4,Electronics,India,,475.0,3632,1
819.0,16,Electronics,India,9795.0,131.0,1331,0
857.0,1,Medical,India,3299.0,523.0,6745,0
549.0,23,Medical,India,7459.0,241.0,16629,0
1368.0,16,Travel,India,7803.0,706.0,14285,0
564.0,2,Fuel,Dubai,6602.0,156.0,19831,0
6298.0,1,Grocery,Other,7212.0,388.0,14055,0
128.0,13,Travel,India,3576.0,34.0,3819,0
2159.0,6,Travel,India,8707.0,299.0,19901,0
2527.0,1,Travel,India,8602.0,392.0,2848,0
990.0,8,Electronics,India,9274.0,181.0,18176,0
6036.0,20,Online,India,4527.0,226.0,6709,0
1034.0,4,Online,India,837.0,322.0,17148,0
1692.0,0,Restaurant,Dubai,,361.0,15096,0
9070.0,12,Medical,Dubai,2500.0,392.0,18193,0
1318.0,19,Travel,India,3810.0,603.0,12015,1
1095.0,19,Electronics,India,,565.0,19782,0
557.0,9,Travel,USA,6736.0,199.0,10587,0
2351.0,4,Online,India,,356.0,13171,0
438.0,22,Restaurant,India,1011.0,168.0,9971,1
95.0,15,Restaurant,India,6718.0,78.0,11800,0
725.0,17,Grocery,India,5442.0,282.0,9671,0
4930.0,20,Grocery,India,937.0,108.0,18283,0
2933.0,1,Online,Other,5110.0,573.0,10609,0
1080.0,4,Fuel,India,8449.0,551.0,3816,0
2690.0,21,Electronics,Singapore,5569.0,379.0,6739,1
321.0,6,Online,India,2534.0,325.0,10527,1
700.0,9,Medical,India,8645.0,535.0,10295,0
7269.0,17,Medical,Singapore,4824.0,566.0,6386,0
4488.0,8,Grocery,India,5742.0,695.0,8382,0
2920.0,6,Restaurant,India,1837.0,191.0,4306,0
522.0,11,Fuel,India,2701.0,448.0,6685,0
73.0,23,Fuel,India,2676.0,1.0,5187,0
372.0,4,Medical,India,800.0,687.0,1875,0
786.0,18,Travel,India,6168.0,497.0,4128,0
1487.0,16,Online,India,3651.0,521.0,16323,0
888.0,1,Fuel,India,3297.0,480.0,6868,0
3623.0,15,Online,USA,6553.0,689.0,19032,1
5758.0,10,Fuel,India,6263.0,526.0,10344,0
561.0,16,Grocery,Singapore,6538.0,356.0,12743,0
1290.0,19,Grocery,India,5542.0,304.0,14735,0
4646.0,18,Electronics,India,1080.0,390.0,11287,0
799.0,14,Restaurant,India,1563.0,93.0,6164,0
2979.0,19,Grocery,UK,4937.0,269.0,13494,0
2102.0,4,Medical,India,5165.0,146.0,4431,0
3258.0,1,Grocery,India,2422.0,643.0,637,0
1979.0,7,Restaurant,Dubai,6984.0,133.0,15556,0
1291.0,16,Medical,India,6832.0,60.0,8743,0
1820.0,9,Restaurant,India,5259.0,676.0,10508,0
4146.0,15,Restaurant,Other,3843.0,95.0,13904,0
2888.0,13,Travel,India,4346.0,485.0,4558,0
8335.0,23,Online,Dubai,3128.0,,5241,0
748.0,0,Online,India,5808.0,616.0,3365,0
1171.0,15,Grocery,India,2167.0,483.0,10040,0
73.98397938359533,3,Medical,India,4160.0,671.0,15079,0
409.0,15,Online,India,4788.0,608.0,10666,0
1635.0,21,Travel,India,2547.0,483.0,14200,0
3098.0,4,Medical,India,7284.0,198.0,1727,0
3778.0,2,Online,India,6803.0,283.0,3693,0
1276.0,5,Travel,India,2692.0,537.0,10637,0
934.0,11,Travel,India,2413.0,,18140,0
2383.0,20,Online,Dubai,2190.0,18.0,16957,1
636.0,2,Medical,India,6894.0,166.0,7752,1
1195.0,3,Medical,India,3332.0,203.0,15917,0
