Age,Annual_Income_INR,Loan_Amount_INR,Credit_Score,Employment_Years,Existing_Loans,Loan_Type,Defaulted
23,2521554.0,1474073.0,560.0,3.0,0,Auto,0
40,767211.0,3324198.0,787.0,9.0,3,Auto,0
56,701854.0,3342440.0,640.0,30.0,3,Personal,0
39,1596538.0,4199596.0,628.0,11.0,1,Personal,0
46,2987352.0,4699191.0,700.0,19.0,0,Home,0
23,1581880.0,64284.0,656.0,31.0,2,Education,0
39,1376741.0,2731966.0,798.0,1.0,2,Home,0
40,2698544.0,1495215.0,734.0,10.0,1,Home,0
52,495673.0,4890459.0,418.0,19.0,3,Business,1
27,2965453.0,1478967.0,346.0,22.0,2,Home,1
61,,371044.0,467.0,12.0,0,Home,0
53,1989718.0,1969614.0,647.0,34.0,4,Education,0
60,2152381.0,2415362.0,803.0,16.0,4,Home,0
59,2604155.0,2598256.0,838.0,9.0,3,Education,0
38,906443.0,3204311.0,595.0,13.0,4,Education,0
60,2527654.0,3495929.0,812.0,18.0,0,Home,0
21,2030113.0,1252252.0,,31.0,1,Education,0
31,2817918.0,4567877.0,694.0,32.0,1,Personal,0
48,501951.0,1711257.0,829.0,24.0,0,Personal,0
45,590449.0,2071591.0,602.0,24.0,1,Education,0
43,512499.0,2447258.0,501.0,13.0,0,Personal,0
51,695655.0,2316797.0,832.0,23.0,0,Business,0
50,1886279.0,4224333.0,455.0,12.0,4,Auto,1
62,470855.0,2753855.0,313.0,1.0,4,Personal,1
55,2753447.0,4411139.0,319.0,33.0,3,Home,1
27,1256480.0,4945344.0,756.0,14.0,4,Personal,0
36,2121486.0,693300.0,472.0,1.0,1,Business,0
46,2417187.0,1760329.0,744.0,24.0,4,Business,0
22,1993723.0,3315926.0,421.0,4.0,0,Business,1
21,1434744.0,2704928.0,796.0,33.0,4,Personal,0
32,1470242.0,2823971.0,483.0,4.0,1,Auto,0
25,2562389.0,455770.0,879.0,7.0,3,Home,0
57,2584214.0,259176.0,348.0,13.0,2,Auto,0
52,2490860.0,1798951.0,480.0,28.0,0,Personal,0
29,1389042.0,1365777.0,693.0,29.0,1,Auto,0
61,1373077.0,1705890.0,692.0,3.0,1,Education,0
55,984516.0,373420.0,647.0,34.0,2,Home,0
39,816798.0,2040198.0,775.0,6.0,3,Education,0
36,2919259.0,974178.0,440.0,25.0,0,Education,0
23,1230649.0,223403.0,829.0,31.0,3,Auto,0
40,760591.0,4390692.0,883.0,32.0,2,Education,0
44,751741.0,721577.0,770.0,23.0,0,Home,0
53,1095318.0,2083621.0,562.0,0.0,4,Education,0
44,2095703.0,1112563.0,442.0,28.0,3,Personal,1
31,923809.0,3769931.0,445.0,20.0,4,Home,0
28,,4782135.0,593.0,22.0,0,Personal,0
56,356837.0,20221796.362542905,837.0,4.0,2,Personal,0
58,1644132.0,3567290.0,808.0,29.0,4,Business,0
60,719676.0,4282763.0,721.0,17.0,4,Business,0
40,1995651.0,3366627.0,870.0,5.0,1,Personal,0
55,1210913.0,4799333.0,863.0,4.0,0,Education,0
45,1810921.0,1823951.0,716.0,17.0,2,Personal,0
55,2166677.0,1748941.0,406.0,12.0,1,Personal,0
45,1867519.0,1561526.0,617.0,19.0,3,Business,0
49,469289.0,824071.0,358.0,20.0,2,Auto,1
38,,3046956.0,557.0,3.0,1,Auto,0
38,2894670.0,643465.0,724.0,12.0,3,Auto,0
22,2976442.0,3199271.0,830.0,17.0,2,Personal,0
55,1665544.0,1081232.0,465.0,12.0,1,Personal,0
36,1356714.0,3436937.0,324.0,12.0,2,Education,1
61,936664.0,2438351.0,303.0,34.0,4,Business,1
56,1881532.0,3513357.0,302.0,26.0,1,Personal,1
53,704788.0,707767.0,717.0,25.0,4,Home,0
24,1706440.0,3882682.0,661.0,11.0,1,Home,0
53,1305391.0,4997395.0,668.0,1.0,4,Business,0
34,416741.0,3403461.0,838.0,19.0,0,Home,0
41,1677482.0,4462406.0,645.0,34.0,4,Home,0
40,1207536.0,1285092.0,343.0,9.0,0,Business,1
28,1433678.0,4596569.0,863.0,7.0,2,Personal,0
27,2627200.0,4105831.0,452.0,30.0,3,Personal,0
23,2017397.0,22050582.191771697,501.0,14.0,3,Education,1
37,2534621.0,1780174.0,620.0,17.0,3,Personal,0
53,1325664.0,4348931.0,763.0,14.0,0,Home,0
32,2827048.0,1264844.0,310.0,18.0,3,Home,1
42,2287403.0,1831157.0,879.0,23.0,3,Education,0
42,,1897746.0,526.0,34.0,4,Business,0
50,1127366.0,2785623.0,632.0,1.0,3,Home,0
58,2163399.0,3523142.0,768.0,12.0,0,Personal,0
58,1306136.0,4136724.0,314.0,,4,Personal,1
28,1101495.0,1083546.0,,34.0,0,Personal,0
47,2511753.0,2988563.0,629.0,1.0,1,Home,0
47,2673758.0,231410.0,363.0,15.0,3,Auto,1
54,2980927.0,3448397.0,529.0,1.0,0,Home,0
41,2230603.0,4241115.0,310.0,15.0,0,Home,1
50,1136827.0,3395167.0,523.0,7.0,4,Auto,1
53,480141.0,4459044.0,841.0,0.0,1,Auto,0
48,1174507.0,4792910.0,805.0,17.0,1,Personal,0
53,2785393.0,3563728.0,821.0,25.0,3,Personal,0
25,2992354.0,3119180.0,353.0,4.0,2,Personal,1
39,1182912.0,4897381.0,456.0,20.0,2,Home,1
24,2744306.0,4200926.0,869.0,34.0,4,Business,0
55,729983.0,3217475.0,,27.0,3,Education,0
37,2523964.0,1785496.0,698.0,25.0,4,Business,0
64,782787.0,1161649.0,702.0,31.0,3,Auto,0
48,223382.0,292720.0,887.0,20.0,1,Home,0
50,917583.0,4003089.0,388.0,3.0,2,Home,1
49,1407115.0,379649.0,892.0,23.0,0,Education,0
26,2749684.0,4256459.0,485.0,32.0,2,Business,0
55,1623188.0,3076526.0,,4.0,3,Auto,1
61,946256.0,427150.0,444.0,2.0,2,Education,0
57,2358988.0,4076088.0,313.0,10.0,0,Home,1
44,1542643.0,4621586.0,301.0,31.0,1,Education,0
49,1503609.0,2211594.0,815.0,21.0,1,Personal,0
51,2130719.0,2575076.0,365.0,10.0,3,Business,0
55,2313444.0,1077236.0,545.0,21.0,2,Auto,0
53,,1778207.0,729.0,3.0,3,Personal,0
41,1492348.0,2341796.0,871.0,,2,Business,0
52,1267376.0,4788479.0,531.0,9.0,4,Personal,1
43,2353592.0,3712391.0,735.0,18.0,3,Education,0
53,2713614.0,632275.0,652.0,17.0,2,Auto,0
23,851809.0,754990.0,682.0,27.0,4,Education,0
38,2743173.0,2541297.745252695,359.0,30.0,3,Education,0
45,1822512.0,1540852.0,769.0,16.0,1,Business,0
62,650067.0,2915559.0,710.0,23.0,4,Auto,0
51,2197768.0,2453752.0,382.0,0.0,3,Auto,1
23,555642.0,1266028.0,373.0,4.0,0,Education,1
60,1016196.0,1218826.0,610.0,31.0,1,Auto,0
44,,551554.0,753.0,16.0,4,Home,0
52,2466725.0,848001.0,325.0,20.0,2,Auto,1
42,1382864.0,4631742.0,725.0,21.0,0,Education,0
43,1342354.0,4999027.0,676.0,33.0,2,Home,0
22,2427168.0,3095838.0,542.0,13.0,0,Home,0
47,1897152.0,3143307.0,622.0,15.0,3,Business,0
62,2465356.0,202721.0,479.0,4.0,3,Education,0
22,1359149.0,932564.0,565.0,17.0,2,Auto,0
46,320730.0,2247649.0,849.0,3.0,2,Home,0
37,1312762.0,3605495.0,679.0,27.0,2,Education,0
60,2802501.0,2261584.0,376.0,26.0,4,Business,1
53,2039968.0,1543488.0,823.0,5.0,1,Personal,0
29,218781.0,971372.0,348.0,10.0,2,Personal,0
63,2554658.0,3237002.0,553.0,20.0,3,Auto,0
59,1486793.0,3621297.0,679.0,16.0,3,Personal,0
49,615794.0,3226381.0,548.0,30.0,2,Home,0
62,,1356159.0,371.0,33.0,2,Home,1
46,2577179.0,655978.0,746.0,12.0,3,Education,0
55,2851222.0,412757.0,805.0,22.0,4,Auto,0
45,1567107.0,4680981.0,552.0,0.0,0,Education,0
44,461161.0,3669258.0,598.0,3.0,3,Education,1
33,2363418.0,2039150.0,359.0,29.0,0,Auto,0
27,724344.0,1739575.0,656.0,30.0,2,Education,0
56,1696823.0,3572909.0,456.0,15.0,1,Personal,1
40,1381349.0,2500231.0,641.0,2.0,2,Business,0
21,535983.0,3732027.0,501.0,11.0,2,Education,0
28,2277382.0,4285025.0,334.0,11.0,2,Home,1
36,2666993.0,872501.0,834.0,10.0,3,Home,0
34,1315059.0,1413990.0,755.0,15.0,3,Personal,0
32,1269081.0,61227.0,464.0,,1,Education,0
43,599769.0,4830312.0,327.0,20.0,0,Education,1
35,2854965.0,3526177.0,671.0,4.0,0,Auto,0
48,1344584.0,2462947.0,613.0,12.0,0,Education,0
54,1292924.0,363476.0,864.0,16.0,2,Education,0
22,926547.0,4444257.0,583.0,11.0,1,Home,0
52,469417.0,4138039.0,597.0,16.0,2,Auto,0
43,930929.0,4025712.0,774.0,0.0,1,Education,0
42,334607.0,1307550.0,896.0,7.0,4,Personal,0
45,1986960.0,2795378.0,648.0,15.0,3,Education,0
42,1355733.0,691518.0,744.0,14.0,2,Auto,0
42,1773772.0,3135632.0,506.0,18.0,4,Personal,1
62,1500875.0,1192334.0,716.0,24.0,0,Personal,0
26,1356928.0,863383.0,738.0,30.0,4,Personal,0
35,2648285.0,3170070.0,464.0,1.0,3,Home,0
63,412628.0,4002424.0,858.0,24.0,3,Home,0
57,2281557.0,2493647.0,719.0,30.0,3,Personal,0
53,311889.0,362683.0,670.0,3.0,4,Home,0
28,462063.0,4747319.0,565.0,3.0,0,Personal,0
64,511467.0,4929975.0,578.0,11.0,2,Personal,0
64,,747757.0,781.0,16.0,0,Business,0
25,332957.0,3116247.0,816.0,20.0,1,Home,0
59,2298201.0,4943797.0,381.0,,1,Business,0
24,777569.0,881299.0,418.0,21.0,2,Personal,0
26,659567.0,1099892.0,602.0,15.0,3,Personal,0
52,1285110.0,87972.0,514.0,14.0,2,Business,0
50,1341610.0,923356.0,327.0,29.0,4,Auto,1
55,2584333.0,1046552.0,797.0,10.0,3,Personal,0
60,629223.0,771580.0,836.0,12.0,2,Home,0
36,1721270.0,2501996.0,818.0,22.0,2,Education,0
33,2848718.0,3693688.0,493.0,33.0,4,Education,0
62,1912208.0,3324807.0,,,4,Education,0
50,1759284.0,3428191.0,,1.0,0,Business,0
39,1174687.0,3369435.0,335.0,7.0,1,Personal,0
37,1024726.0,2853777.0,557.0,17.0,2,Auto,0
39,1846141.0,3376909.0,412.0,6.0,0,Home,0
48,204694.0,229869.0,593.0,30.0,3,Education,0
46,2879590.0,1683751.0,313.0,21.0,3,Education,1
57,745844.0,2824924.0,896.0,,1,Home,0
46,1444119.0,4018022.0,439.0,24.0,3,Education,1
43,2215935.0,2536973.0,670.0,0.0,1,Business,0
29,2870526.0,1838663.0,726.0,31.0,3,Personal,0
32,,2817333.0,396.0,24.0,3,Personal,1
21,2237775.0,2482414.0,787.0,15.0,2,Auto,0
21,1428135.0,1173124.0,641.0,28.0,4,Business,0
54,2195238.0,2311879.0,,23.0,2,Auto,0
52,2186373.0,4348623.0,799.0,16.0,0,Education,0
45,2211841.0,4429952.0,731.0,5.0,4,Personal,0
60,823756.0,2227218.0,488.0,13.0,2,Auto,0
21,1158254.0,2393787.0,381.0,25.0,4,Auto,1
36,1841466.0,881653.0,479.0,27.0,4,Business,0
59,1224446.0,4069349.0,714.0,30.0,4,Education,0
25,2813456.0,1728676.0,404.0,26.0,3,Home,0
42,272356.0,4336630.0,680.0,1.0,4,Business,0
49,2089706.0,189972.0,628.0,18.0,3,Business,0
23,2557077.0,2049565.0,548.0,27.0,4,Education,1
32,808919.0,2380193.0,371.0,20.0,3,Home,1
46,2542854.0,1112467.0,432.0,14.0,4,Business,1
36,232175.0,945072.0,539.0,33.0,0,Auto,0
57,2733526.0,3866102.0,377.0,2.0,2,Auto,1
42,1033230.0,3115827.0,869.0,0.0,4,Auto,0
49,1929912.0,3684412.0,760.0,23.0,0,Auto,0
34,1967052.0,3195523.0,424.0,26.0,2,Home,0
48,540822.0,922231.0,310.0,8.0,1,Education,1
25,710559.0,265928.0,767.0,23.0,4,Education,0
50,446464.0,3964608.0,706.0,16.0,1,Home,0
25,1282169.0,4943038.0,326.0,27.0,2,Education,1
32,1159468.0,4283763.0,506.0,3.0,2,Auto,1
36,2505412.0,1892053.0,521.0,28.0,4,Home,0
46,315064.0,1403975.0,611.0,27.0,0,Auto,0
46,2789644.0,2934821.0,681.0,28.0,4,Education,0
41,2350517.0,4296499.0,614.0,28.0,0,Business,0
59,2013508.0,1478495.0,507.0,4.0,4,Home,0
56,1469087.0,186365.0,595.0,10.0,0,Personal,0
53,1740850.0,3745290.0,701.0,1.0,3,Personal,0
50,1728447.0,932961.0,734.0,3.0,0,Auto,0
57,2504123.0,723589.0,872.0,9.0,0,Education,0
43,2400852.0,3693610.0,421.0,7.0,2,Auto,1
30,2656373.0,3798863.0,405.0,22.0,1,Personal,1
25,268247.0,368862.0,335.0,26.0,4,Home,1
56,2453422.0,4050878.0,849.0,22.0,2,Auto,0
54,353560.0,4487387.0,371.0,33.0,1,Education,1
51,1538618.0,969419.0,867.0,34.0,2,Personal,0
30,381142.0,2154228.0,466.0,16.0,2,Home,0
39,786901.0,3538222.0,520.0,9.0,4,Auto,0
52,1345283.0,2987502.0,375.0,1.0,3,Home,1
21,573921.0,1496585.0,510.0,16.0,2,Business,0
25,1203639.0,3454768.0,527.0,30.0,4,Personal,0
24,1200005.0,886960.0,752.0,15.0,0,Auto,0
36,247003.0,429647.0,786.0,23.0,1,Home,0
44,607650.0,4311102.0,773.0,6.0,4,Auto,0
36,1678441.0,2156471.0,789.0,18.0,3,Education,0
22,1643791.0,3602138.0,675.0,15.0,4,Education,0
48,1394497.0,462525.0,530.0,32.0,4,Auto,0
52,970448.0,4993960.0,524.0,9.0,0,Personal,0
47,991877.0,53468.0,774.0,14.0,1,Auto,0
40,2805676.0,3339451.0,876.0,2.0,1,Auto,0
44,1279729.0,2937993.0,379.0,1.0,3,Auto,0
32,2040220.0,116083.0,875.0,34.0,1,Auto,0
55,334411.0,1332843.0,509.0,26.0,0,Personal,0
53,2877678.0,859858.0,596.0,4.0,3,Business,0
53,612610.0,2988341.0,471.0,14.0,0,Business,0
63,496751.0,4389812.0,388.0,32.0,0,Home,0
57,252055.0,4820728.0,525.0,0.0,4,Personal,0
32,1353085.0,1258610.0,442.0,11.0,4,Personal,1
23,2948818.0,2644140.0,353.0,8.0,4,Personal,1
21,1657082.0,3341723.0,495.0,19.0,2,Education,1
53,1336263.0,4180018.0,788.0,29.0,0,Personal,0
60,2697838.0,4234052.0,597.0,13.0,1,Education,0
30,2169921.0,5449378.408589241,729.0,22.0,3,Business,0
63,1351228.0,1427123.0,836.0,28.0,2,Business,0
64,525341.0,3182113.0,878.0,34.0,4,Education,0
