customer_id,annual_spend_inr,txn_frequency_per_year,avg_order_value_inr,days_since_last_purchase,customer_age,loyalty_score,city,city_tier,gender,payment_method,customer_segment
CUST00028,39304,18,1766,5,52,59.1,Kolkata,2,F,Debit Card,Regular shoppers
CUST00029,11680,27,588,1,28,82.5,Hyderabad,2,M,Net Banking,Young explorers
CUST00030,7984,10,857,55,75,39.2,Chennai,2,F,Credit Card,Occasional buyers
CUST00031,91726,93,7756,204,59,50.4,Pune,2,F,UPI,Noise
CUST00032,69990,49,2477,15,48,92.6,Hyderabad,2,M,Wallet,Premium loyalists
CUST00033,44935,23,1502,25,22,75.8,Chennai,2,M,Net Banking,Regular shoppers
CUST00034,95603,29,1575,17,38,95.2,Pune,2,M,Net Banking,Premium loyalists
CUST00035,11889,23,424,4,21,74.1,Pune,2,F,Net Banking,Young explorers
CUST00036,21984,38,630,11,21,38.2,Hyderabad,2,M,Net Banking,Bargain hunters
CUST00037,16521,28,843,23,28,46.5,Bengaluru,1,F,Wallet,Bargain hunters
CUST00038,6689,9,890,59,49,25.2,Jaipur,3,F,COD,Occasional buyers
CUST00039,8434,30,594,1,20,59.0,Hyderabad,2,M,Wallet,Young explorers
CUST00040,31335,25,1991,25,27,55.4,Jaipur,3,F,Credit Card,Regular shoppers
CUST00041,46375,7,13008,57,58,80.2,Jaipur,3,M,Debit Card,High-value infrequent
CUST00042,13389,31,709,11,26,28.8,Mumbai,1,M,Credit Card,Bargain hunters
CUST00043,7602,4,1374,74,54,25.4,Ahmedabad,2,M,Debit Card,Occasional buyers
CUST00044,31614,19,1360,22,25,65.1,Mumbai,1,M,Wallet,Regular shoppers
CUST00045,14249,29,657,21,18,47.4,Jaipur,3,F,Debit Card,Bargain hunters
CUST00046,36944,17,1661,21,30,73.3,Delhi,1,M,Credit Card,Regular shoppers
CUST00047,38243,13,1822,20,27,70.7,Mumbai,1,M,UPI,Regular shoppers
CUST00048,37194,12,1243,29,27,75.0,Hyderabad,2,M,Wallet,Regular shoppers
CUST00049,23560,21,1103,31,22,70.0,Bengaluru,1,F,UPI,Regular shoppers
CUST00050,49874,3,8558,38,45,59.3,Delhi,1,F,Wallet,High-value infrequent
CUST00051,99620,49,1792,21,39,99.2,Ahmedabad,2,F,Credit Card,Premium loyalists
CUST00052,22337,24,1746,20,22,38.5,Pune,2,F,Credit Card,Regular shoppers
CUST00053,62699,43,2145,23,45,89.7,Chennai,2,M,Wallet,Premium loyalists
CUST00054,18963,46,552,1,22,50.0,Bengaluru,1,F,Wallet,Bargain hunters
CUST00055,64927,31,1619,9,53,90.9,Bengaluru,1,F,Credit Card,Premium loyalists
CUST00056,10076,12,1799,40,36,32.7,Mumbai,1,F,COD,Occasional buyers
CUST00057,35230,22,1311,41,30,81.6,Chennai,2,M,Credit Card,Regular shoppers
CUST00058,37248,24,1246,35,18,68.5,Delhi,1,F,UPI,Regular shoppers
CUST00059,5312,9,757,36,68,38.4,Mumbai,1,M,Wallet,Occasional buyers
CUST00060,71935,44,2617,27,44,95.4,Jaipur,3,M,UPI,Premium loyalists
CUST00061,38972,22,1224,11,26,74.7,Kolkata,2,F,COD,Regular shoppers
CUST00062,26035,39,513,14,25,53.0,Delhi,1,M,Credit Card,Bargain hunters
CUST00063,22625,21,673,10,21,42.6,Hyderabad,2,F,Net Banking,Bargain hunters
CUST00064,14179,16,374,16,24,38.1,Delhi,1,M,COD,Bargain hunters
CUST00065,96439,4,12982,60,35,56.8,Pune,2,M,COD,High-value infrequent
CUST00066,17693,41,367,7,28,67.6,Jaipur,3,F,Debit Card,Young explorers
CUST00067,31029,20,1384,8,38,62.4,Pune,2,F,Wallet,Regular shoppers
CUST00068,22425,35,799,16,32,54.0,Kolkata,2,M,Credit Card,Bargain hunters
CUST00069,107666,5,7297,34,43,87.8,Hyderabad,2,M,Credit Card,High-value infrequent
CUST00070,19999,49,467,22,18,55.4,Bengaluru,1,M,UPI,Bargain hunters
CUST00071,16201,35,512,8,23,42.1,Delhi,1,F,Debit Card,Bargain hunters
CUST00072,23056,20,1598,38,31,72.9,Bengaluru,1,F,Net Banking,Regular shoppers
CUST00073,11191,23,158,15,27,71.6,Lucknow,3,F,Wallet,Young explorers
CUST00074,24855,19,2039,28,39,67.6,Jaipur,3,M,Net Banking,Regular shoppers
CUST00075,9347,39,296,14,18,100,Ahmedabad,2,M,UPI,Young explorers
CUST00076,11789,5,1079,35,31,27.0,Lucknow,3,M,Net Banking,Occasional buyers
CUST00077,32029,17,1336,30,33,60.1,Lucknow,3,M,Credit Card,Regular shoppers
CUST00078,12545,9,1803,56,18,58.6,Ahmedabad,2,M,UPI,Occasional buyers
CUST00079,162712,62,13301,342,32,85.0,Bengaluru,1,F,Wallet,Noise
CUST00080,106074,38,2207,19,46,95.4,Delhi,1,M,Net Banking,Premium loyalists
CUST00081,85805,7,10636,39,61,68.8,Hyderabad,2,F,Debit Card,High-value infrequent
CUST00082,4143,8,1439,73,62,37.9,Delhi,1,M,UPI,Occasional buyers
CUST00083,11878,20,567,16,23,47.1,Bengaluru,1,M,UPI,Bargain hunters
CUST00084,84229,70,12270,287,38,91.2,Bengaluru,1,F,Net Banking,Noise
CUST00085,18966,17,1489,21,24,71.0,Pune,2,F,Wallet,Regular shoppers
CUST00086,17785,34,509,5,23,42.7,Jaipur,3,M,COD,Bargain hunters
CUST00087,28265,17,453,1,25,47.3,Chennai,2,M,Credit Card,Bargain hunters
CUST00088,14446,36,642,17,28,58.2,Kolkata,2,M,Credit Card,Bargain hunters
CUST00089,60364,28,2430,9,42,98.8,Pune,2,M,COD,Premium loyalists
CUST00090,75131,33,2779,16,49,87.8,Ahmedabad,2,M,Net Banking,Premium loyalists
CUST00091,85156,44,1703,32,34,94.3,Delhi,1,M,UPI,Premium loyalists
CUST00092,15627,33,593,6,22,74.9,Hyderabad,2,M,Debit Card,Young explorers
CUST00093,92114,45,2024,21,35,82.6,Ahmedabad,2,M,Credit Card,Premium loyalists
CUST00094,26520,16,1264,33,46,79.0,Chennai,2,M,Net Banking,Regular shoppers
CUST00095,79147,31,1896,13,50,93.6,Jaipur,3,M,Debit Card,Premium loyalists
CUST00096,52418,10,10516,44,50,72.4,Delhi,1,M,Debit Card,High-value infrequent
CUST00097,67219,36,2362,1,31,100,Lucknow,3,M,UPI,Premium loyalists
CUST00098,6813,8,1476,27,24,19.8,Pune,2,M,Net Banking,Occasional buyers
CUST00099,17123,37,399,13,18,48.2,Pune,2,M,COD,Bargain hunters
CUST00100,48179,24,1689,16,21,66.6,Bengaluru,1,M,Net Banking,Regular shoppers
CUST00101,71099,45,1969,21,48,93.7,Bengaluru,1,M,Credit Card,Premium loyalists
CUST00102,6530,24,378,1,21,60.9,Jaipur,3,F,UPI,Young explorers
CUST00103,10096,3,1495,64,33,32.2,Kolkata,2,M,Net Banking,Occasional buyers
CUST00104,41613,6,9078,36,67,54.6,Pune,2,F,Wallet,High-value infrequent
CUST00105,12710,40,471,17,37,16.5,Delhi,1,F,Wallet,Bargain hunters
CUST00106,31835,17,1934,6,35,56.0,Kolkata,2,F,Net Banking,Regular shoppers
CUST00107,50417,6,10463,34,60,52.1,Ahmedabad,2,M,Wallet,High-value infrequent
CUST00108,8797,8,1236,64,64,39.2,Chennai,2,M,Wallet,Occasional buyers
CUST00109,71404,35,1889,14,47,88.7,Chennai,2,F,UPI,Premium loyalists
CUST00110,5708,9,1050,53,51,39.5,Jaipur,3,M,Wallet,Occasional buyers
CUST00111,13961,30,564,13,21,35.5,Jaipur,3,M,UPI,Bargain hunters
CUST00112,28684,21,1572,22,38,69.3,Pune,2,M,Net Banking,Regular shoppers
CUST00113,33580,16,1375,71,25,70.4,Hyderabad,2,F,Net Banking,Regular shoppers
CUST00114,74961,43,1571,18,39,85.2,Lucknow,3,F,Credit Card,Premium loyalists
CUST00115,14136,25,468,10,25,55.4,Mumbai,1,F,Net Banking,Young explorers
CUST00116,69110,32,2349,8,44,79.2,Pune,2,F,Net Banking,Premium loyalists
CUST00117,3460,26,760,18,26,49.6,Mumbai,1,F,Wallet,Bargain hunters
CUST00118,36628,21,1782,31,31,72.2,Chennai,2,M,COD,Regular shoppers
CUST00119,28641,29,451,21,27,51.0,Chennai,2,F,Credit Card,Bargain hunters
CUST00120,19537,45,502,14,38,53.7,Kolkata,2,M,Credit Card,Bargain hunters
CUST00121,24602,27,647,13,21,37.6,Pune,2,M,Debit Card,Bargain hunters
CUST00122,26036,15,1717,22,37,74.4,Ahmedabad,2,M,Debit Card,Regular shoppers
CUST00123,158469,40,10697,284,48,83.4,Pune,2,F,COD,Noise
CUST00124,18946,45,141,15,22,100,Chennai,2,M,Credit Card,Young explorers
CUST00125,24001,22,279,20,26,24.7,Lucknow,3,F,Net Banking,Bargain hunters
CUST00126,31252,24,1601,39,29,56.2,Kolkata,2,F,UPI,Regular shoppers
CUST00127,16789,19,549,12,27,82.7,Bengaluru,1,F,Wallet,Young explorers
CUST00128,2716,5,1464,76,42,40.8,Ahmedabad,2,M,Net Banking,Occasional buyers
CUST00129,38943,15,1706,22,45,60.3,Mumbai,1,M,Net Banking,Regular shoppers
CUST00130,59908,4,10564,38,55,44.1,Delhi,1,F,Credit Card,High-value infrequent
CUST00131,14418,32,514,14,31,39.7,Ahmedabad,2,F,Wallet,Bargain hunters
CUST00132,14880,6,1278,82,51,28.9,Bengaluru,1,F,Wallet,Occasional buyers
CUST00133,8771,11,1289,65,60,39.3,Mumbai,1,M,UPI,Occasional buyers
CUST00134,14401,7,1445,75,46,41.3,Lucknow,3,M,UPI,Occasional buyers
CUST00135,16387,25,530,11,28,42.3,Kolkata,2,F,COD,Bargain hunters
CUST00136,24497,22,1910,12,29,68.9,Chennai,2,M,Wallet,Regular shoppers
CUST00137,79709,38,1974,23,30,100,Jaipur,3,F,Debit Card,Premium loyalists
CUST00138,16361,35,455,27,20,30.4,Chennai,2,F,Debit Card,Bargain hunters
CUST00139,24297,7,10546,43,56,49.6,Lucknow,3,M,UPI,High-value infrequent
CUST00140,33125,26,1745,37,34,55.4,Jaipur,3,M,UPI,Regular shoppers
CUST00141,6719,8,1285,26,39,49.4,Hyderabad,2,M,Debit Card,Occasional buyers
CUST00142,68903,31,22593,111,70,55.9,Hyderabad,2,M,Credit Card,Noise
CUST00143,18038,36,598,29,32,42.9,Pune,2,M,COD,Bargain hunters
CUST00144,24145,25,1209,11,43,70.2,Lucknow,3,M,Credit Card,Regular shoppers
CUST00145,4638,11,1415,63,46,38.2,Bengaluru,1,M,Credit Card,Occasional buyers
CUST00146,31339,32,2200,30,21,47.7,Lucknow,3,F,Credit Card,Regular shoppers
CUST00147,65305,37,2322,11,37,80.8,Hyderabad,2,F,Wallet,Premium loyalists
CUST00148,80208,37,2656,13,29,89.7,Mumbai,1,F,Wallet,Premium loyalists
CUST00149,8928,8,853,40,24,33.0,Chennai,2,M,UPI,Occasional buyers
CUST00150,92003,56,2197,4,46,100,Lucknow,3,F,Debit Card,Premium loyalists
CUST00151,10225,33,508,11,24,83.0,Chennai,2,M,Credit Card,Young explorers
CUST00152,90138,36,2036,15,32,94.4,Ahmedabad,2,F,Net Banking,Premium loyalists
CUST00153,88231,44,1627,18,33,91.5,Pune,2,F,Credit Card,Premium loyalists
CUST00154,12923,37,624,15,31,45.8,Jaipur,3,F,Credit Card,Bargain hunters
CUST00155,107696,38,1911,27,27,90.7,Chennai,2,F,Net Banking,Premium loyalists
CUST00156,3272,30,222,15,19,76.9,Bengaluru,1,M,Net Banking,Young explorers
CUST00157,10244,10,1736,61,51,22.6,Mumbai,1,M,Wallet,Occasional buyers
CUST00158,37189,17,1765,15,39,52.1,Bengaluru,1,F,Credit Card,Regular shoppers
CUST00159,26084,11,1202,5,28,53.1,Pune,2,F,Net Banking,Regular shoppers
CUST00160,2598,13,1088,55,51,25.2,Bengaluru,1,F,Debit Card,Occasional buyers
CUST00161,78855,60,1985,8,40,95.8,Lucknow,3,F,Credit Card,Premium loyalists
CUST00162,19701,37,766,12,22,39.7,Jaipur,3,M,Wallet,Bargain hunters
CUST00163,71298,38,2328,13,34,85.1,Kolkata,2,M,UPI,Premium loyalists
CUST00164,98133,53,1397,4,37,81.0,Chennai,2,M,Credit Card,Premium loyalists
CUST00165,25403,20,2025,48,44,68.0,Hyderabad,2,M,Debit Card,Regular shoppers
CUST00166,23600,48,381,16,18,62.7,Hyderabad,2,M,COD,Bargain hunters
CUST00167,21570,42,488,22,32,47.8,Pune,2,F,UPI,Bargain hunters
CUST00168,27529,14,1713,17,32,50.3,Delhi,1,M,COD,Regular shoppers
CUST00169,20694,20,1617,17,24,49.9,Delhi,1,M,Debit Card,Regular shoppers
CUST00170,19960,43,351,24,20,50.9,Lucknow,3,F,UPI,Bargain hunters
CUST00171,16751,21,1709,6,29,78.0,Pune,2,M,Credit Card,Regular shoppers
CUST00172,4808,10,1078,80,48,23.0,Bengaluru,1,F,Net Banking,Occasional buyers
CUST00173,171687,18,7117,355,29,99.6,Pune,2,F,Wallet,Noise
CUST00174,67268,5,12334,60,50,66.0,Mumbai,1,M,Credit Card,High-value infrequent
CUST00175,98737,41,1599,12,35,92.8,Jaipur,3,F,UPI,Premium loyalists
CUST00176,18094,18,389,1,27,49.7,Hyderabad,2,F,Net Banking,Bargain hunters
CUST00177,44085,14,1789,13,25,67.6,Jaipur,3,F,Credit Card,Regular shoppers
CUST00178,11511,8,1626,30,22,29.7,Lucknow,3,M,Net Banking,Occasional buyers
CUST00179,24150,41,590,12,18,50.9,Hyderabad,2,F,COD,Bargain hunters
CUST00180,14877,26,687,25,29,65.7,Kolkata,2,F,UPI,Bargain hunters
CUST00181,17467,22,459,17,38,48.3,Chennai,2,F,Net Banking,Bargain hunters
CUST00182,57515,42,2341,7,34,88.4,Hyderabad,2,M,Credit Card,Premium loyalists
CUST00183,34314,25,1518,27,28,75.2,Hyderabad,2,F,Credit Card,Regular shoppers
CUST00184,7817,33,403,30,18,70.6,Ahmedabad,2,M,COD,Bargain hunters
CUST00185,8717,46,346,16,24,46.2,Hyderabad,2,M,UPI,Bargain hunters
CUST00186,31925,17,1542,33,31,56.1,Mumbai,1,F,Wallet,Regular shoppers
CUST00187,76250,44,2227,30,43,89.1,Kolkata,2,F,Net Banking,Premium loyalists
CUST00188,18519,29,516,14,18,18.0,Lucknow,3,M,Wallet,Bargain hunters
CUST00189,74232,41,1722,8,57,91.5,Delhi,1,F,Wallet,Premium loyalists
CUST00190,12221,44,269,2,18,64.1,Ahmedabad,2,F,Debit Card,Bargain hunters
CUST00191,5378,4,2077,15,55,29.3,Ahmedabad,2,F,Wallet,Occasional buyers
CUST00192,76425,5,8926,52,39,50.2,Delhi,1,M,UPI,High-value infrequent
CUST00193,74239,42,2550,6,43,95.4,Kolkata,2,F,Credit Card,Premium loyalists
CUST00194,60834,38,2361,3,30,98.7,Mumbai,1,F,COD,Premium loyalists
CUST00195,23619,31,511,12,24,43.8,Ahmedabad,2,M,UPI,Bargain hunters
CUST00196,26381,27,387,19,18,55.2,Mumbai,1,F,Wallet,Bargain hunters
CUST00197,18293,38,455,1,20,54.8,Lucknow,3,M,Net Banking,Bargain hunters
CUST00198,8389,9,1687,47,38,29.3,Chennai,2,F,Wallet,Occasional buyers
CUST00199,28633,25,1248,12,28,70.7,Lucknow,3,F,Net Banking,Regular shoppers
CUST00200,26706,53,499,13,19,55.4,Delhi,1,F,COD,Bargain hunters
CUST00201,95664,37,1680,8,33,92.7,Mumbai,1,M,Wallet,Premium loyalists
CUST00202,15332,26,522,19,28,60.2,Lucknow,3,M,Credit Card,Bargain hunters
CUST00203,13632,30,461,29,33,61.6,Pune,2,F,UPI,Bargain hunters
CUST00204,65137,48,1749,8,46,89.7,Jaipur,3,F,Debit Card,Premium loyalists
CUST00205,100320,33,2211,10,39,88.0,Lucknow,3,M,Net Banking,Premium loyalists
CUST00206,79051,42,2238,8,46,89.3,Pune,2,M,Net Banking,Premium loyalists
CUST00207,19459,33,449,28,37,64.6,Bengaluru,1,M,COD,Bargain hunters
CUST00208,22134,33,507,20,18,27.7,Kolkata,2,F,Credit Card,Bargain hunters
CUST00209,43476,17,2017,12,44,64.9,Kolkata,2,M,Net Banking,Regular shoppers
CUST00210,160718,95,6523,58,25,42.5,Pune,2,M,COD,Noise
CUST00211,12407,2,1010,57,59,28.7,Kolkata,2,F,UPI,Occasional buyers
CUST00212,12504,30,526,6,18,46.4,Hyderabad,2,F,Credit Card,Bargain hunters
CUST00213,34691,21,1735,15,24,61.7,Bengaluru,1,F,Net Banking,Regular shoppers
CUST00214,23188,43,533,12,27,44.5,Hyderabad,2,F,UPI,Bargain hunters
CUST00215,32974,16,1496,28,22,44.0,Hyderabad,2,M,COD,Regular shoppers
CUST00216,7922,9,534,85,41,41.0,Ahmedabad,2,F,Credit Card,Occasional buyers
CUST00217,7780,4,1150,74,61,35.2,Delhi,1,M,UPI,Occasional buyers
CUST00218,6593,7,1887,51,47,40.3,Hyderabad,2,M,Wallet,Occasional buyers
CUST00219,35484,18,1632,19,18,52.0,Lucknow,3,F,UPI,Regular shoppers
CUST00220,42707,24,1555,36,18,53.9,Delhi,1,M,UPI,Regular shoppers
CUST00221,12934,35,609,37,25,26.5,Kolkata,2,M,Credit Card,Bargain hunters
CUST00222,20969,19,1451,38,30,58.7,Hyderabad,2,M,Wallet,Regular shoppers
CUST00223,58969,11,11143,15,51,62.7,Ahmedabad,2,M,Credit Card,High-value infrequent
CUST00224,16277,32,257,15,22,67.5,Lucknow,3,M,Debit Card,Bargain hunters
CUST00225,142589,56,14301,334,32,19.8,Pune,2,F,Wallet,Noise
CUST00226,26014,14,1466,13,38,66.7,Mumbai,1,M,Wallet,Regular shoppers
CUST00227,31474,22,1831,47,22,59.0,Chennai,2,F,Net Banking,Regular shoppers
CUST00228,20899,30,537,20,24,48.1,Kolkata,2,F,Credit Card,Bargain hunters
CUST00229,2022,19,16659,250,26,98.7,Chennai,2,F,Debit Card,Noise
CUST00230,27484,19,1534,20,25,75.5,Ahmedabad,2,F,Credit Card,Regular shoppers
CUST00231,84759,53,2821,5,50,79.9,Kolkata,2,M,Debit Card,Premium loyalists
CUST00232,9490,2,1418,66,61,19.7,Bengaluru,1,M,Debit Card,Occasional buyers
CUST00233,19551,24,735,18,19,39.0,Mumbai,1,M,Net Banking,Bargain hunters
CUST00234,99816,4,11129,68,55,47.8,Lucknow,3,M,COD,High-value infrequent
CUST00235,36127,20,1192,30,39,53.6,Jaipur,3,F,COD,Regular shoppers
CUST00236,172633,60,7805,65,53,38.3,Hyderabad,2,F,Credit Card,Noise
CUST00237,122111,3,22332,349,65,85.6,Ahmedabad,2,F,UPI,Noise
CUST00238,99894,9,10852,38,71,64.8,Hyderabad,2,M,Credit Card,High-value infrequent
CUST00239,7643,14,815,72,69,30.5,Pune,2,M,Wallet,Occasional buyers
CUST00240,65186,44,1762,21,29,99.9,Kolkata,2,F,Credit Card,Premium loyalists
CUST00241,10780,30,645,15,18,37.9,Kolkata,2,F,Credit Card,Bargain hunters
CUST00242,20469,36,339,2,20,74.9,Chennai,2,M,COD,Young explorers
CUST00243,25804,35,502,17,29,46.2,Bengaluru,1,M,Wallet,Bargain hunters
CUST00244,9550,5,1778,58,54,47.3,Chennai,2,M,UPI,Occasional buyers
CUST00245,36037,33,1456,25,46,60.1,Mumbai,1,F,UPI,Regular shoppers
CUST00246,19582,34,223,12,22,59.6,Jaipur,3,F,Credit Card,Young explorers
CUST00247,16903,14,1708,6,18,49.5,Bengaluru,1,M,Credit Card,Regular shoppers
CUST00248,14583,44,408,8,22,75.3,Mumbai,1,F,Wallet,Young explorers
CUST00249,19633,21,541,12,19,67.4,Pune,2,F,Credit Card,Young explorers
CUST00250,101991,48,2403,4,40,99.3,Jaipur,3,M,Wallet,Premium loyalists
CUST00251,9515,9,1016,60,69,50.8,Ahmedabad,2,M,Credit Card,Occasional buyers
CUST00252,52882,7,9412,55,41,61.3,Delhi,1,F,Wallet,High-value infrequent
CUST00253,25128,37,585,29,24,35.8,Delhi,1,M,Credit Card,Bargain hunters
CUST00254,6623,8,617,66,34,24.3,Pune,2,M,UPI,Occasional buyers
CUST00255,18158,19,596,8,19,87.4,Mumbai,1,F,COD,Young explorers
CUST00256,27870,30,1198,13,30,53.6,Chennai,2,F,Debit Card,Regular shoppers
CUST00257,33854,19,1846,30,41,90.2,Bengaluru,1,F,Debit Card,Regular shoppers
CUST00258,39267,24,1515,40,36,61.6,Chennai,2,F,COD,Regular shoppers
CUST00259,21484,17,530,27,28,51.1,Bengaluru,1,M,Wallet,Bargain hunters
CUST00260,85154,57,1809,1,51,100,Lucknow,3,M,UPI,Premium loyalists
CUST00261,21854,17,1823,36,24,78.1,Ahmedabad,2,F,UPI,Regular shoppers
CUST00262,27027,46,428,24,38,44.2,Bengaluru,1,M,UPI,Bargain hunters
CUST00263,9825,27,504,30,35,51.0,Jaipur,3,F,Credit Card,Bargain hunters
CUST00264,32420,20,1886,21,29,62.6,Pune,2,F,UPI,Regular shoppers
CUST00265,70960,49,2238,8,37,92.3,Ahmedabad,2,M,Debit Card,Premium loyalists
CUST00266,12121,6,1039,61,65,30.9,Bengaluru,1,F,COD,Occasional buyers
CUST00267,19404,45,493,16,24,34.1,Ahmedabad,2,F,Credit Card,Bargain hunters
CUST00268,32030,25,1865,20,35,91.3,Kolkata,2,M,Debit Card,Regular shoppers
CUST00269,23670,14,1641,21,36,62.7,Delhi,1,M,COD,Regular shoppers
CUST00270,33522,21,1992,42,33,75.4,Ahmedabad,2,F,Debit Card,Regular shoppers
CUST00271,73348,6,7344,55,56,47.2,Mumbai,1,F,Credit Card,High-value infrequent
CUST00272,22388,25,720,15,18,41.6,Jaipur,3,F,Wallet,Bargain hunters
CUST00273,34929,20,1127,8,48,65.8,Mumbai,1,F,COD,Regular shoppers
CUST00274,54614,7,6971,17,42,57.2,Ahmedabad,2,M,COD,High-value infrequent
CUST00275,13705,12,697,71,55,38.2,Bengaluru,1,F,Wallet,Occasional buyers
CUST00276,112387,3,11289,280,25,66.3,Hyderabad,2,F,Net Banking,Noise
CUST00277,154633,96,2236,55,24,90.8,Mumbai,1,F,UPI,Noise
CUST00278,27622,29,1644,18,42,50.6,Ahmedabad,2,F,Net Banking,Regular shoppers
CUST00279,40721,24,1741,35,23,91.1,Jaipur,3,M,Credit Card,Regular shoppers
CUST00280,18347,34,667,35,24,40.4,Delhi,1,F,Debit Card,Bargain hunters
CUST00281,29217,16,1866,29,18,61.4,Bengaluru,1,F,COD,Regular shoppers
CUST00282,7948,1,1864,60,43,21.5,Mumbai,1,F,Wallet,Occasional buyers
CUST00283,21513,27,680,6,22,81.9,Delhi,1,M,Credit Card,Young explorers
CUST00284,6491,39,475,13,23,65.0,Lucknow,3,F,Net Banking,Young explorers
CUST00285,7797,39,449,4,28,65.3,Hyderabad,2,F,Credit Card,Young explorers
CUST00286,7627,9,1762,64,48,32.2,Mumbai,1,F,UPI,Occasional buyers
CUST00287,72074,4,8363,63,56,62.1,Chennai,2,F,Wallet,High-value infrequent
CUST00288,13794,30,696,1,18,87.9,Kolkata,2,F,Credit Card,Young explorers
CUST00289,118641,45,1753,21,37,90.3,Chennai,2,M,Debit Card,Premium loyalists
CUST00290,10208,4,1366,78,44,27.8,Delhi,1,M,Net Banking,Occasional buyers
CUST00291,94588,41,2072,11,34,99.6,Chennai,2,M,Credit Card,Premium loyalists
CUST00292,140984,20,17920,253,30,98.3,Bengaluru,1,F,Debit Card,Noise
CUST00293,70959,5,7855,57,39,63.1,Chennai,2,M,Wallet,High-value infrequent
CUST00294,68453,45,1679,22,28,98.2,Mumbai,1,F,Credit Card,Premium loyalists
CUST00295,52477,24,1340,35,24,67.2,Delhi,1,F,UPI,Regular shoppers
CUST00296,12782,22,1210,15,18,58.4,Chennai,2,F,COD,Regular shoppers
CUST00297,101832,39,2515,13,50,87.6,Hyderabad,2,M,COD,Premium loyalists
CUST00298,10248,34,323,7,23,58.2,Lucknow,3,M,Debit Card,Young explorers
CUST00299,74581,66,16271,85,29,70.8,Kolkata,2,M,UPI,Noise
CUST00300,45562,7,9299,45,54,63.5,Pune,2,F,Debit Card,High-value infrequent
CUST00301,42299,24,1177,35,28,63.8,Pune,2,F,Credit Card,Regular shoppers
CUST00302,10166,1,594,46,60,35.0,Pune,2,M,Net Banking,Occasional buyers
CUST00303,108214,44,1895,12,51,93.0,Jaipur,3,F,Debit Card,Premium loyalists
CUST00304,5912,4,1381,28,41,21.6,Delhi,1,F,UPI,Occasional buyers
CUST00305,16238,16,560,6,28,45.5,Mumbai,1,M,COD,Bargain hunters
CUST00306,109046,44,2354,9,48,95.9,Pune,2,M,COD,Premium loyalists
CUST00307,73059,5,8124,63,64,37.7,Kolkata,2,F,Credit Card,High-value infrequent
CUST00308,24961,26,1379,26,35,73.5,Kolkata,2,F,UPI,Regular shoppers
CUST00309,1644,12,1419,48,59,45.1,Pune,2,M,UPI,Occasional buyers
CUST00310,36611,20,2013,51,38,56.9,Kolkata,2,F,Net Banking,Regular shoppers
CUST00311,10057,18,552,15,21,100,Delhi,1,F,Debit Card,Young explorers
CUST00312,16656,30,545,5,18,87.6,Kolkata,2,M,Debit Card,Young explorers
