Recency_Days,Purchase_Frequency,Total_Spend_INR,Age,City_Type,Gender,Total_Returns,Discounts_Used
274.0,45.0,103615.0,27.0,Metro,Male,2.0,48.0
282.0,50.0,,26.0,Tier1,Male,15.0,13.0
141.0,9.0,130106.0,27.0,Tier1,Female,13.0,1.0
152.0,4.0,68879.0,59.0,Metro,Female,3.0,18.0
176.0,24.0,362966.0,36.0,Tier2,Male,17.0,10.0
156.0,42.0,312003.0,18.0,Metro,Female,10.0,6.0
345.0,75.0,473212.0,44.0,Tier2,Female,18.0,12.0
329.0,33.0,304335.0,28.0,Tier1,Male,0.0,18.0
251.0,60.0,429089.0,35.0,Tier1,Male,12.0,2.0
359.0,74.0,489518.0,63.0,Tier2,Female,7.0,37.0
137.0,37.0,,60.0,Rural,Female,3.0,46.0
159.0,93.0,321685.0,48.0,Tier2,Male,4.0,11.0
210.0,8.0,196591.0,55.0,Tier1,Female,7.0,1.0
352.0,43.0,,25.0,Tier1,Male,7.0,46.0
,5.0,107715.0,62.0,Tier2,Other,9.0,21.0
333.0,33.0,349582.0,64.0,Tier1,Male,3.0,48.0
192.0,24.0,221925.0,38.0,Tier1,Male,1.0,0.0
250.0,20.0,266341.0,50.0,Tier1,Male,12.0,42.0
227.0,89.0,170967.0,63.0,Metro,Male,6.0,0.0
139.0,41.0,310993.0,67.0,Tier2,Male,9.0,0.0
98.0,17.0,256879.0,49.0,Metro,Female,14.0,22.0
343.0,7.0,104063.0,62.0,Tier2,Male,6.0,39.0
345.0,35.0,363872.0,60.0,Metro,Female,1.0,4.0
23.0,91.0,386291.0,38.0,Rural,Male,0.0,38.0
310.0,42.0,24554.0,41.0,Rural,Male,9.0,48.0
254.0,15.0,97142.0,19.0,Rural,Female,11.0,10.0
313.0,92.0,458648.0,38.0,Metro,Female,0.0,30.0
124.0,95.0,350831.0,36.0,Tier1,Female,9.0,17.0
,8.0,72566.0,51.0,Metro,Female,8.0,21.0
287.0,31.0,66579.0,66.0,Rural,Male,18.0,21.0
23.0,36.0,489712.0,44.0,Metro,Male,12.0,30.0
,33.0,372321.0,49.0,Tier1,Female,11.0,12.0
94.0,44.0,102440.0,58.0,Metro,Female,14.0,47.0
163.0,35.0,17386.0,,Tier1,Female,1.0,37.0
14.0,26.0,309309.0,34.0,Tier1,Male,19.0,10.0
,17.0,129982.0,68.0,Tier2,Male,17.0,5.0
298.0,58.0,5540.0,48.0,Metro,Female,5.0,37.0
358.0,14.0,286114.0,18.0,Tier1,Male,12.0,48.0
13.0,73.0,208643.0,68.0,Metro,Male,14.0,34.0
331.0,16.0,257695.0,29.0,Metro,Female,10.0,18.0
279.0,39.0,384808.0,62.0,Tier2,Male,10.0,13.0
43.0,62.0,48737.0,48.0,Tier1,Male,0.0,7.0
348.0,6.0,195377.0,64.0,Metro,Female,14.0,49.0
57.0,32.0,401142.0,35.0,Metro,Female,6.0,24.0
27.0,91.0,414729.0,35.0,Tier1,Female,11.0,27.0
140.0,75.0,434114.0,51.0,Tier1,Other,17.0,12.0
203.0,2.0,496261.0,22.0,Tier2,Male,12.0,13.0
251.0,76.0,18536.0,64.0,Tier2,Male,0.0,29.0
230.0,55.0,241550.0,48.0,Tier1,Female,2.0,7.0
113.0,44.0,164427.0,65.0,Rural,Male,2.0,30.0
329.0,97.0,109476.0,,Tier2,Male,11.0,42.0
9.0,30.0,52613.0,27.0,Tier2,Female,4.0,8.0
,18.0,66445.0,57.0,Tier1,Male,19.0,47.0
139.0,37.0,283810.0,43.0,Metro,Male,17.0,26.0
177.0,79.0,54975.0,43.0,Metro,Male,15.0,30.0
196.0,30.0,38250.0,46.0,Rural,Male,19.0,16.0
196.0,10.0,145971.0,54.0,Rural,Male,10.0,39.0
44.0,29.0,105907.0,24.0,Tier1,Female,9.0,38.0
7.0,79.0,477364.0,68.0,Tier1,Female,17.0,25.0
,28.0,287697.0,65.0,Tier1,Male,13.0,46.0
176.0,90.0,451580.0,40.0,Metro,Female,17.0,20.0
153.0,9.0,468428.0,18.0,Metro,Male,3.0,37.0
35.0,35.0,320884.0,65.0,Tier1,Male,7.0,11.0
161.0,9.0,98953.0,46.0,Rural,Male,9.0,42.0
136.0,20.0,346450.0,49.0,Tier1,Female,11.0,9.0
246.0,72.0,60942.0,55.0,Metro,Female,16.0,21.0
299.0,66.0,1837.0,21.0,Tier1,Female,10.0,12.0
176.0,41.0,459643.0,50.0,Metro,Male,17.0,49.0
31.0,50.0,90472.0,,Rural,Male,8.0,49.0
278.0,85.0,298843.0,66.0,Metro,Female,6.0,23.0
98.0,13.0,436035.0,20.0,Tier1,Female,14.0,26.0
96.0,26.0,290063.0,24.0,Tier1,Male,15.0,25.0
62.0,59.0,61379.0,54.0,Tier1,Female,10.0,41.0
189.0,86.0,360797.0,59.0,Rural,Female,7.0,26.0
22.0,37.0,369723.0,,Tier1,Male,0.0,34.0
50.0,97.0,,63.0,Metro,Female,13.0,32.0
247.0,81.0,182072.0,34.0,Metro,Female,10.0,41.0
,98.0,,59.0,Metro,Female,13.0,19.0
346.0,88.0,100822.0,37.0,Tier2,Female,4.0,0.0
109.0,66.0,118426.0,51.0,Tier1,Female,4.0,42.0
333.0,57.0,305747.0,41.0,Tier1,Male,16.0,23.0
90.0,74.0,383728.0,19.0,Metro,Female,7.0,11.0
313.0,45.0,31455.0,37.0,Tier1,Female,9.0,19.0
21.0,26.0,75118.0,29.0,Tier2,Female,16.0,8.0
160.0,64.0,408845.0,47.0,Metro,Female,3.0,19.0
160.0,76.0,132870.0,45.0,Tier1,Male,1.0,16.0
272.0,5.0,50002.0,61.0,Tier1,Female,5.0,12.0
296.0,66.0,40331.0,41.0,Metro,Male,11.0,37.0
290.0,26.0,264445.0,49.0,Tier1,Male,6.0,2.0
55.0,56.0,101647.0,56.0,Tier2,Male,16.0,35.0
219.0,49.0,32729.0,34.0,Tier1,Female,11.0,13.0
329.0,40.0,242458.0,40.0,Metro,Female,12.0,12.0
172.0,75.0,312641.0,68.0,Rural,Male,10.0,3.0
93.0,78.0,83474.0,22.0,Rural,Male,6.0,23.0
162.0,68.0,66932.0,46.0,Tier2,Male,1.0,22.0
89.0,54.0,6402.0,42.0,Metro,Male,0.0,3.0
335.0,43.0,379188.0,,Tier1,Male,3.0,2.0
49.0,17.0,329561.0,44.0,Tier2,Male,3.0,1.0
343.0,92.0,228702.0,26.0,Metro,Female,16.0,30.0
291.0,24.0,388904.0,46.0,Metro,Female,13.0,18.0
,41.0,28946.0,28.0,Metro,Female,2.0,13.0
,6.0,,34.0,Metro,Female,17.0,46.0
263.0,47.0,468015.0,19.0,Tier1,Male,13.0,29.0
5.0,7.0,191481.0,54.0,Rural,Female,13.0,17.0
316.0,57.0,346846.0,48.0,Metro,Female,4.0,42.0
140.0,66.0,220998.0,44.0,Tier1,Female,10.0,2.0
242.0,81.0,318533.0,44.0,Tier1,Female,13.0,15.0
55.0,72.0,273240.0,56.0,Tier2,Male,6.0,5.0
45.0,44.0,48707.0,31.0,Tier1,Male,13.0,11.0
31.0,9.0,354415.0,21.0,Metro,Female,0.0,39.0
196.0,69.0,458988.0,69.0,Metro,Female,0.0,32.0
325.0,43.0,402754.0,66.0,Tier1,Female,3.0,30.0
20.0,39.0,136429.0,52.0,Metro,Male,18.0,18.0
302.0,40.0,435329.0,66.0,Tier1,Female,2.0,6.0
159.0,28.0,301103.0,38.0,Metro,Female,12.0,48.0
106.0,38.0,135005.0,48.0,Metro,Female,7.0,25.0
88.0,67.0,137798.0,62.0,Rural,Male,15.0,1.0
79.0,20.0,433650.0,39.0,Metro,Male,17.0,49.0
41.0,11.0,472483.0,51.0,Tier1,Female,8.0,36.0
270.0,18.0,247485.0,63.0,Metro,Female,14.0,21.0
238.0,46.0,129781.0,36.0,Metro,Male,19.0,49.0
19.0,18.0,206298.0,36.0,Metro,Male,11.0,14.0
291.0,15.0,437704.0,63.0,Metro,Male,16.0,47.0
64.0,38.0,328123.0,25.0,Tier1,Male,4.0,21.0
336.0,34.0,380148.0,26.0,Tier1,Female,16.0,38.0
362.0,82.0,137892.0,47.0,Tier1,Male,13.0,2.0
269.0,74.0,206376.0,65.0,Rural,Female,8.0,18.0
71.0,62.0,472355.0,57.0,Tier1,Male,4.0,38.0
189.0,98.0,150241.0,60.0,Metro,Female,10.0,24.0
332.0,76.0,30832.0,43.0,Metro,Male,19.0,31.0
112.0,9.0,342817.0,58.0,Tier2,Male,4.0,3.0
323.0,76.0,186725.0,25.0,Rural,Female,10.0,35.0
345.0,58.0,383845.0,47.0,Metro,Male,18.0,47.0
242.0,55.0,321621.0,27.0,Tier2,Male,11.0,4.0
3.0,28.0,103870.0,23.0,Metro,Male,7.0,2.0
60.0,64.0,354168.0,,Metro,Male,7.0,3.0
349.0,45.0,305792.0,36.0,Tier1,Male,15.0,43.0
118.0,91.0,433365.0,66.0,Rural,Male,14.0,37.0
275.0,52.0,311224.0,36.0,Tier2,Male,0.0,18.0
119.0,84.0,467892.0,62.0,Rural,Female,5.0,21.0
58.0,11.0,499511.0,28.0,Metro,Male,16.0,1.0
167.0,85.0,442136.0,58.0,Metro,Female,6.0,15.0
101.0,14.0,319001.0,25.0,Tier1,Male,18.0,2.0
40.0,29.0,60736.0,31.0,Metro,Female,16.0,21.0
309.0,15.0,487534.0,33.0,Tier2,Other,12.0,8.0
70.0,21.0,82616.0,36.0,Tier2,Female,9.0,47.0
311.0,63.0,93036.0,38.0,Tier2,Male,0.0,41.0
302.0,36.0,141825.0,35.0,Tier1,Male,14.0,22.0
323.0,19.0,427140.0,24.0,Metro,Male,12.0,16.0
360.0,92.0,445857.0,58.0,Metro,Female,11.0,14.0
11.0,10.0,294825.0,20.0,Metro,Female,19.0,39.0
250.0,7.0,26026.0,66.0,Metro,Female,9.0,19.0
349.0,45.0,448007.0,65.0,Tier1,Male,4.0,45.0
241.0,99.0,176906.0,64.0,Tier1,Male,6.0,30.0
164.0,95.0,491182.0,20.0,Rural,Male,1.0,37.0
149.0,92.0,486869.0,52.0,Tier2,Female,6.0,21.0
27.0,17.0,431113.0,52.0,Tier1,Female,10.0,9.0
301.0,79.0,251263.0,28.0,Tier1,Female,3.0,45.0
296.0,48.0,253114.0,64.0,Tier2,Female,18.0,47.0
231.0,39.0,262277.0,45.0,Tier2,Male,1.0,15.0
41.0,13.0,376017.0,50.0,Metro,Female,0.0,0.0
87.0,35.0,479396.0,55.0,Rural,Male,4.0,36.0
44.0,27.0,440108.0,36.0,Tier2,Female,18.0,1.0
43.0,14.0,498757.0,22.0,Tier2,Male,0.0,5.0
249.0,15.0,100602.0,59.0,Tier2,Female,13.0,10.0
357.0,68.0,261939.0,51.0,Tier2,Female,18.0,47.0
43.0,1.0,260828.0,60.0,Metro,Female,6.0,4.0
101.0,11.0,178788.0,,Rural,Male,9.0,16.0
7.0,11.0,,39.0,Tier2,Male,11.0,45.0
288.0,46.0,401786.0,41.0,Tier1,Male,19.0,35.0
351.0,60.0,249872.0,47.0,Tier1,Female,6.0,3.0
252.0,70.0,485605.0,54.0,Tier2,Male,0.0,42.0
27.0,48.0,,29.0,Tier1,Male,2.0,13.0
68.0,34.0,73248.0,63.0,Tier1,Female,19.0,3.0
23.0,81.0,269416.0,26.0,Tier1,Male,15.0,43.0
117.0,87.0,1101523.4778713412,66.0,Tier1,Male,16.0,6.0
151.0,23.0,348000.0,62.0,Rural,Male,17.0,34.0
68.0,17.0,222315.0,21.0,Metro,Male,18.0,14.0
337.0,82.0,180411.0,57.0,Tier1,Female,8.0,5.0
328.0,27.0,131225.0,57.0,Tier2,Female,18.0,39.0
93.0,12.0,140329.0,18.0,Tier1,Female,13.0,33.0
95.0,67.0,350977.0,43.0,Tier2,Female,13.0,38.0
198.0,56.0,177559.0,60.0,Metro,Female,15.0,9.0
319.0,91.0,24453.0,49.0,Metro,Male,14.0,15.0
133.0,87.0,96377.0,42.0,Metro,Female,15.0,26.0
136.0,78.0,4898.0,45.0,Tier2,Male,5.0,20.0
186.0,72.0,227995.0,49.0,Metro,Female,8.0,10.0
162.0,38.0,439213.0,20.0,Metro,Female,14.0,23.0
229.0,28.0,473628.0,,Metro,Female,4.0,48.0
,98.0,197227.0,29.0,Tier2,Female,16.0,39.0
95.0,48.0,84320.0,60.0,Metro,Male,6.0,40.0
244.0,69.0,36348.0,64.0,Tier1,Female,18.0,45.0
69.0,82.0,86693.0,45.0,Tier1,Male,16.0,16.0
187.0,60.0,2178.0,63.0,Metro,Female,4.0,21.0
267.0,33.0,435044.0,26.0,Tier2,Male,7.0,35.0
91.0,60.0,221391.0,49.0,Tier2,Male,3.0,10.0
156.0,69.0,306186.0,43.0,Metro,Female,11.0,3.0
288.0,87.0,87947.0,64.0,Metro,Male,10.0,26.0
192.0,93.0,2720.0,50.0,Tier2,Male,15.0,29.0
144.0,52.0,480063.0,42.0,Tier2,Female,13.0,17.0
17.0,48.0,306815.0,33.0,Tier2,Female,17.0,9.0
84.0,67.0,312394.0,19.0,Metro,Male,15.0,1.0
312.0,15.0,,,Metro,Other,6.0,21.0
227.0,27.0,350394.0,,Metro,Male,4.0,30.0
15.0,45.0,309617.0,21.0,Tier2,Male,17.0,41.0
134.0,1.0,458597.0,69.0,Metro,Male,7.0,15.0
235.0,55.0,466467.0,42.0,Tier2,Male,10.0,29.0
329.0,23.0,396465.0,57.0,Tier2,Female,4.0,18.0
80.0,16.0,75840.0,27.0,Tier2,Male,8.0,47.0
255.0,95.0,348602.0,,Tier1,Male,5.0,13.0
41.0,46.0,201687.0,50.0,Rural,Female,6.0,11.0
343.0,23.0,176513.0,35.0,Tier2,Male,10.0,24.0
,96.0,53879.0,22.0,Tier1,Male,6.0,24.0
183.0,82.0,248175.0,59.0,Tier2,Female,10.0,7.0
313.0,56.0,286966.0,39.0,Tier2,Female,15.0,29.0
230.0,67.0,23315.0,28.0,Tier2,Male,15.0,12.0
252.0,12.0,340014.0,49.0,Tier1,Female,3.0,4.0
176.0,26.0,203547.0,33.0,Tier2,Male,14.0,18.0
96.0,63.0,123201.0,,Metro,Male,19.0,47.0
186.0,30.0,63919.0,,Metro,Male,4.0,33.0
171.0,8.0,416729.0,53.0,Tier2,Male,2.0,43.0
56.0,19.0,233564.0,40.0,Metro,Male,14.0,29.0
232.0,94.0,132860.0,41.0,Tier2,Female,6.0,28.0
92.0,18.0,378319.0,53.0,Tier2,Male,17.0,6.0
191.0,90.0,210270.0,34.0,Tier2,Male,2.0,31.0
149.0,40.0,199672.0,38.0,Metro,Male,8.0,1.0
206.0,23.0,164070.0,35.0,Metro,Male,4.0,21.0
49.0,82.0,2651698.1379737854,47.0,Rural,Other,8.0,1.0
283.0,75.0,47294.0,34.0,Metro,Female,13.0,10.0
246.0,66.0,368974.0,67.0,Metro,Male,17.0,38.0
175.0,11.0,161772.0,69.0,Metro,Female,9.0,1.0
328.0,16.0,170707.0,45.0,Metro,Male,1.0,49.0
97.0,99.0,56853.0,43.0,Metro,Male,3.0,36.0
73.0,82.0,,56.0,Tier1,Male,11.0,2.0
326.0,44.0,29181.0,,Tier1,Female,2.0,28.0
315.0,5.0,475598.0,27.0,Tier1,Male,5.0,43.0
266.0,74.0,444152.0,29.0,Rural,Female,9.0,12.0
337.0,8.0,249930.0,30.0,Tier2,Female,0.0,13.0
238.0,36.0,284303.0,34.0,Tier1,Female,3.0,42.0
71.0,89.0,407146.0,29.0,Metro,Female,7.0,11.0
254.0,22.0,428693.93927157496,41.0,Tier1,Male,8.0,29.0
118.0,19.0,329272.0,44.0,Tier1,Male,3.0,48.0
223.0,48.0,390391.0,41.0,Tier1,Other,12.0,46.0
333.0,83.0,,20.0,Metro,Male,7.0,46.0
105.0,6.0,472893.0,40.0,Metro,Male,19.0,24.0
304.0,65.0,48177.0,26.0,Tier1,Female,4.0,16.0
26.0,62.0,127430.0,30.0,Metro,Male,19.0,3.0
86.0,52.0,375778.0,67.0,Rural,Female,1.0,45.0
314.0,97.0,308810.0,68.0,Metro,Female,2.0,49.0
191.0,6.0,161255.0,55.0,Tier1,Male,11.0,15.0
174.0,46.0,24602.0,35.0,Tier2,Female,2.0,11.0
60.0,2.0,421255.0,42.0,Tier1,Female,2.0,11.0
16.0,11.0,,66.0,Tier2,Male,11.0,17.0
50.0,3.0,352756.0,48.0,Metro,Female,4.0,12.0
249.0,27.0,457392.0,19.0,Tier2,Female,7.0,35.0
248.0,16.0,92688.0,38.0,Metro,Male,19.0,23.0
364.0,9.0,183582.0,,Tier1,Female,7.0,9.0
43.0,43.0,470265.0,21.0,Tier1,Female,5.0,38.0
61.0,90.0,239407.0,68.0,Tier1,Female,8.0,2.0
62.0,98.0,123743.0,43.0,Metro,Male,19.0,1.0
200.0,59.0,218556.0,,Metro,Female,10.0,23.0
182.0,43.0,135676.0,51.0,Rural,Female,0.0,4.0
168.0,39.0,349844.0,57.0,Tier1,Female,7.0,29.0
292.0,18.0,67963.0,57.0,Metro,Other,1.0,35.0
54.0,55.0,174566.0,,Rural,Female,2.0,21.0
242.0,19.0,50926.0,37.0,Metro,Female,2.0,26.0
331.0,22.0,191835.0,18.0,Tier2,Male,7.0,5.0
248.0,15.0,482067.0,20.0,Metro,Male,6.0,26.0
147.0,45.0,383202.0,23.0,Metro,Female,18.0,15.0
258.0,11.0,406888.0,34.0,Metro,Male,4.0,14.0
184.0,61.0,175864.0,31.0,Metro,Male,13.0,30.0
346.0,91.0,410664.0,64.0,Metro,Female,9.0,17.0
144.0,85.0,411413.0,63.0,Tier1,Male,15.0,28.0
104.0,49.0,302250.0,58.0,Metro,Female,19.0,11.0
28.0,73.0,1829532.5382295277,59.0,Metro,Male,17.0,7.0
16.0,72.0,111877.0,44.0,Tier2,Male,13.0,4.0
162.0,73.0,185706.0,30.0,Tier1,Female,8.0,14.0
243.0,34.0,214001.0,39.0,Metro,Male,15.0,48.0
74.0,4.0,267566.0,29.0,Metro,Male,14.0,48.0
340.0,18.0,343747.0,66.0,Tier2,Female,4.0,40.0
206.0,62.0,8172.0,69.0,Metro,Male,4.0,42.0
31.0,38.0,374663.0,61.0,Metro,Male,9.0,30.0
317.0,61.0,109147.0,19.0,Tier2,Female,7.0,10.0
133.0,22.0,166536.0,65.0,Tier1,Male,8.0,4.0
,32.0,274103.0,58.0,Tier2,Female,8.0,2.0
163.0,75.0,61446.0,42.0,Tier2,Female,9.0,41.0
231.0,5.0,,46.0,Metro,Female,8.0,26.0
110.0,2.0,248126.0,41.0,Metro,Female,3.0,2.0
257.0,57.0,170410.0,60.0,Tier2,Female,0.0,19.0
215.0,31.0,454162.0,,Tier1,Female,10.0,0.0
17.0,45.0,76838.0,34.0,Tier1,Male,16.0,21.0
189.0,84.0,,22.0,Tier2,Male,9.0,11.0
,49.0,94632.0,25.0,Metro,Female,15.0,5.0
25.0,28.0,453960.0,64.0,Metro,Female,8.0,10.0
257.0,84.0,123324.0,58.0,Tier1,Female,8.0,42.0
241.0,13.0,,19.0,Tier1,Male,17.0,1.0
51.0,34.0,167358.0,,Tier2,Male,18.0,15.0
95.0,98.0,158088.0,26.0,Tier2,Male,11.0,11.0
358.0,54.0,104429.0,34.0,Tier1,Male,17.0,11.0
89.0,95.0,485729.0,,Metro,Female,1.0,29.0
134.0,72.0,363785.0,61.0,Tier2,Male,14.0,35.0
175.0,54.0,483672.0,64.0,Metro,Female,10.0,23.0
70.0,84.0,491629.0,39.0,Tier1,Female,9.0,0.0
326.0,45.0,338291.0,38.0,Tier1,Female,9.0,18.0
348.0,14.0,238618.0,67.0,Rural,Female,1.0,11.0
362.0,62.0,346112.0,21.0,Metro,Male,0.0,32.0
114.0,50.0,188751.0,22.0,Rural,Female,10.0,36.0
90.0,75.0,396676.0,33.0,Tier2,Male,4.0,26.0
21.0,15.0,437646.0,20.0,Tier2,Female,8.0,31.0
11.0,84.0,392597.0,69.0,Tier2,Female,0.0,18.0
202.0,81.0,264521.0,59.0,Tier1,Female,13.0,8.0
322.0,77.0,332708.0,34.0,Tier1,Male,17.0,8.0
256.0,53.0,39372.0,60.0,Tier2,Female,14.0,19.0
32.0,44.0,192194.0,26.0,Metro,Female,17.0,40.0
41.0,5.0,8024.0,32.0,Rural,Other,13.0,29.0
257.0,15.0,188345.0,32.0,Tier1,Male,9.0,28.0
53.0,64.0,2029256.3588947444,63.0,Tier1,Male,9.0,34.0
140.0,5.0,52243.0,47.0,Metro,Female,15.0,10.0
138.0,68.0,244362.0,54.0,Tier1,Male,16.0,32.0
108.0,52.0,232755.0,46.0,Tier1,Female,6.0,32.0
246.0,71.0,306216.0,37.0,Tier2,Female,1.0,24.0
244.0,90.0,47076.0,69.0,Tier1,Female,19.0,9.0
295.0,34.0,179737.0,28.0,Tier2,Female,11.0,37.0
,7.0,423874.0,32.0,Tier1,Female,14.0,44.0
286.0,1.0,,37.0,Metro,Male,2.0,41.0
53.0,5.0,1682221.6778728678,58.0,Metro,Female,7.0,46.0
115.0,16.0,67380.0,28.0,Metro,Male,10.0,4.0
213.0,2.0,171415.0,53.0,Metro,Female,0.0,3.0
241.0,49.0,131906.0,50.0,Tier2,Female,17.0,35.0
140.0,47.0,147213.0,44.0,Metro,Female,10.0,6.0
,10.0,134591.0,,Tier2,Male,14.0,9.0
346.0,83.0,498199.0,69.0,Tier1,Male,2.0,24.0
13.0,75.0,474229.0,60.0,Tier2,Male,17.0,46.0
108.0,12.0,348822.0,61.0,Metro,Male,6.0,46.0
141.0,65.0,422718.0,59.0,Metro,Female,10.0,16.0
